founder	side	K_f	max_jacc_other_founder	nearest_neighbor_founder	n_cactus_only_kmers	n_pg_only_kmers	n_mixed_kmers	frac_cactus_only	frac_pg_only	h_filt2	h_hf	err	accession_name
9470	cactus	2266369	2.8080998078903147e-05	7323	14892	0	2251477	0.006570862908908479	0.0	0.011354235553238026	0.005038	0.006316235553238026	Tur-4
9506	cactus	2221310	2.8304538108940377e-05	9557	17147	0	2204163	0.007719318780359337	0.0	0.0051815162664225365	0.003529	0.0016525162664225365	IP-Alo-0
9518	cactus	2203489	3.0128129589832243e-05	9507	59815	0	2143674	0.027145585932128548	0.0	0.0026301619308308362	0.001949	0.0006811619308308362	IP-Alm-0
9537	cactus	2275665	2.8550444476466903e-05	9925	8544	0	2267121	0.003754506924349586	0.0	0.01142952181736241	0.003687	0.00774252181736241	IP-Cum-1
9542	cactus	2190161	2.8955285922406214e-05	9985	88005	0	2102156	0.04018197748932613	0.0	0.003450074218272888	0.002101	0.001349074218272888	IP-Fun-0
9549	cactus	2223485	2.9661962150853987e-05	10013	60901	0	2162584	0.02738988569745242	0.0	0.004976926090465037	0.001687	0.003289926090465037	IP-Hum-2
9555	cactus	2164836	2.968860163413544e-05	9719	60160	0	2104676	0.027789633949176752	0.0	0.003700170916648207	0.002308	0.0013921709166482069	IP-Mar-1
9557	cactus	2265730	2.8512586609810458e-05	9699	16641	0	2249089	0.007344652716784436	0.0	0.013916105919055122	0.00623	0.0076861059190551214	IP-Moa-0
9559	cactus	2231382	2.8367603289280336e-05	9837	14657	0	2216725	0.006568574990745646	0.0	0.008599355077869361	0.005165	0.003434355077869361	IP-Mon-5
9564	cactus	2276404	2.8158821072199218e-05	159	17467	0	2258937	0.007673066819422212	0.0	0.007859353071738878	0.002848	0.005011353071738878	IP-Nog-17
9565	cactus	2228936	2.95356530216601e-05	9978	15664	0	2213272	0.007027568310619955	0.0	0.00970457341671279	0.004698	0.00500657341671279	IP-Orb-10
9594	cactus	2264223	2.867508464794673e-05	9555	19008	0	2245215	0.008394932831262645	0.0	0.003716621102263821	0.002129	0.001587621102263821	IP-Vdm-0
9600	cactus	2149818	2.8595381255863756e-05	8351	66513	0	2083305	0.03093889808346567	0.0	0.0014997740140429193	0.002159	-0.0006592259859570806	IP-Vis-0
9606	cactus	2138230	2.9322798059892854e-05	9598	145972	0	1992258	0.06826767934225972	0.0	0.0018119547788303925	0.003165	-0.0013530452211696074	Aitba-1
9637	cactus	2296948	2.857396133650542e-05	9697	9773	0	2287175	0.00425477633799285	0.0	0.008994048705243243	0.004091	0.004903048705243243	Noveg-2
9653	cactus	2217035	2.8427877459603648e-05	7218	10476	0	2206559	0.0047252298678189565	0.0	0.014382855052119885	0.009025	0.005357855052119885	Giffo-1
9758	cactus	2263799	2.8304069944111916e-05	9857	56616	0	2207183	0.025009287485328865	0.0	0.011236300297558779	0.006892	0.004344300297558779	Altai-5
9759	cactus	2216945	2.847895960572154e-05	9716	12596	0	2204349	0.005681692599500664	0.0	0.006572943574021414	0.002572	0.004000943574021414	Anz-0
9764	cactus	2152673	3.0030775633454283e-05	9743	67454	0	2085219	0.03133499607232496	0.0	0.004959260295900062	0.001811	0.003148260295900062	Qar-8a
9837	cactus	2175178	2.9078912842484336e-05	7063	72690	0	2102488	0.03341795476048397	0.0	0.0019619302128154885	0.001785	0.0001769302128154886	Con-0
9879	cactus	2157293	2.9003531469991785e-05	9857	68220	0	2089073	0.03162296452081382	0.0	0.005301347229450125	0.004334	0.000967347229450125	IP-Per-0
9910	cactus	2249837	2.8604434678394935e-05	9542	9530	0	2240307	0.004235862420255334	0.0	0.004795890928142634	0.002657	0.0021388909281426336	BRI-2
9940	cactus	2171825	3.109629371355368e-05	9507	140216	0	2031609	0.06456137119703476	0.0	0.004202801817725765	0.001623	0.0025798018177257643	Toufl-1
9992	cactus	2184509	2.9052105874174407e-05	9857	15643	0	2168866	0.007160876883546829	0.0	0.008560201340393753	0.002051	0.006509201340393753	Dog-4
100001	PG	2120444	2.887971461341064e-05	7025	0	12532	2107912	0.0	0.005910082982620621	6.115984505140272e-05	0.001198	-0.0011368401549485974	NA
100002	PG	2122370	2.9310846176214017e-05	9657	0	12522	2109848	0.0	0.005900008009913446	6.740208635513678e-05	0.001339	-0.001271597913644863	NA
10011	PG	2198540	2.904324750351037e-05	9978	0	13020	2185520	0.0	0.0059221119470193855	0.0035310075575663534	0.007318	-0.0037869924424336465	NA
10013	PG	1923363	3.012637653439661e-05	9534	0	9305	1914058	0.0	0.004837880316924054	6.461898376191969e-13	0.006124	-0.00612399999935381	NA
10014	PG	2148471	2.9758425354178402e-05	7164	0	14572	2133899	0.0	0.006782497878723985	0.0027706668607324833	0.004317	-0.0015463331392675164	NA
265	PG	2227827	2.9092212153340894e-05	6911	0	27328	2200499	0.0	0.012266661639346322	0.0035506947880436708	0.002875	0.0006756947880436708	NA
5151	PG	2219989	2.7727963877000554e-05	9523	0	9566	2210423	0.0	0.004309030360060343	0.0010719677902783868	0.003146	-0.0020740322097216133	NA
5165	PG	2225758	2.869853509921949e-05	9555	0	6718	2219040	0.0	0.003018297586709786	0.00806618214745831	0.006075	0.0019911821474583096	NA
5768	PG	2210954	2.8085810464368543e-05	9522	0	11025	2199929	0.0	0.004986535224161154	0.005344463279337188	0.005846	-0.0005015367206628119	NA
6013	PG	2217717	2.8407940712851418e-05	9625	0	10252	2207465	0.0	0.004622771976767099	0.003290828980245398	0.00507	-0.001779171019754602	NA
6025	PG	2212574	2.8755489581455924e-05	9526	0	8921	2203653	0.0	0.004031955541373983	0.0020036832719365007	0.003852	-0.0018483167280634993	NA
6040	PG	2216021	3.0333823730150305e-05	9977	0	6334	2209687	0.0	0.002858276162545391	0.0013515147749564504	0.002919	-0.0015674852250435497	Kni-1
6073	PG	2216949	2.893830376423531e-05	9940	0	6301	2210648	0.0	0.0028421943851662805	0.005425957740555181	0.004012	0.001413957740555181	NA
6074	PG	2189439	2.8724485814740638e-05	9774	0	10656	2178783	0.0	0.0048670001767576075	0.0006918702596547694	0.003797	-0.0031051297403452307	NA
6108	PG	2197076	2.9397772628760494e-05	9944	0	9681	2187395	0.0	0.004406310933258567	0.000836441460863847	0.004391	-0.003554558539136153	NA
6177	PG	2225899	2.8528286357503904e-05	9534	0	5074	2220825	0.0	0.002279528406275397	0.0012898927610170033	0.003934	-0.0026441072389829967	NA
6180	PG	2250288	2.9068671011592153e-05	9507	0	5814	2244474	0.0	0.0025836692903308377	0.0028268796360364193	0.017023	-0.014196120363963581	TóL 07
6188	PG	2182098	2.923021498092363e-05	10013	0	15009	2167089	0.0	0.0068782428653525185	0.0006445393924902138	0.003909	-0.0032644606075097862	NA
6195	PG	2209262	2.880414924903954e-05	9591	0	12477	2196785	0.0	0.005647587293856501	0.0016626975110594893	0.003132	-0.0014693024889405105	NA
6209	PG	2230731	2.8558251299569085e-05	9586	0	9197	2221534	0.0	0.004122863760803073	0.0028843003368774706	0.00324	-0.00035569966312252923	NA
6216	PG	2221337	2.848299352224959e-05	8249	0	7641	2213696	0.0	0.0034398202523975427	0.001067197439012545	0.002453	-0.0013858025609874548	NA
6243	PG	2179024	2.8787373035690175e-05	9634	0	14061	2164963	0.0	0.006452888999845803	0.0002469942296432331	0.003409	-0.003162005770356767	NA
6940	PG	2249770	2.8471292950855078e-05	9748	0	12939	2236831	0.0	0.0057512545726896526	0.0049205470740598094	0.003965	0.0009555470740598097	NA
6961	PG	2190201	2.8916310051149992e-05	9584	0	27448	2162753	0.0	0.012532183119266222	0.003497611256999339	0.003467	3.061125699933918e-05	NA
6987	PG	2226145	2.8362625622795987e-05	9586	0	9680	2216465	0.0	0.004348324120845677	0.0033525742780267692	0.004769	-0.0014164257219732306	NA
7008	PG	2248876	2.8382120783578953e-05	6177	0	7137	2241739	0.0	0.003173585382208712	0.005324295486348575	0.00492	0.00040429548634857496	NA
7013	PG	2239889	2.81331028043387e-05	6184	0	10880	2229009	0.0	0.004857383557845947	0.0027029715750750555	0.002759	-5.602842492494469e-05	NA
7028	PG	2202993	2.935364018161097e-05	9985	0	15758	2187235	0.0	0.007152995946877725	0.0018834236676379351	0.00407	-0.002186576332362065	NA
7031	PG	2218477	2.8414395544622778e-05	6040	0	11836	2206641	0.0	0.005335191665273068	0.0012678005060918003	0.003478	-0.0022101994939082	NA
7036	PG	2254814	2.9525239243522646e-05	9977	0	8046	2246768	0.0	0.0035683652842318702	0.00438152124616379	0.003131	0.00125052124616379	NA
7062	PG	2259781	2.7939529024476814e-05	7103	0	7113	2252668	0.0	0.003147650148399336	0.004229330544730182	0.004127	0.00010233054473018227	NA
7067	PG	2288356	2.791236138798869e-05	6177	0	4553	2283803	0.0	0.0019896379759093428	0.005687788872073344	0.002978	0.002709788872073344	Ct-1
7071	PG	2223678	2.864463151864288e-05	9837	0	9376	2214302	0.0	0.004216437811589628	0.00323094469804193	0.0038	-0.0005690553019580698	NA
7077	PG	2148661	2.9757090039994947e-05	7164	0	14207	2134454	0.0	0.006612024884334941	0.0006691400486825934	0.002742	-0.0020728599513174066	NA
7103	PG	2214292	2.8385827433244483e-05	6074	0	14333	2199959	0.0	0.006472949367111474	0.0009012584937283257	0.002584	-0.001682741506271674	NA
7106	PG	2226231	2.8525985781535477e-05	7164	0	13484	2212747	0.0	0.006056873702684043	0.006473376795881508	0.007076	-0.0006026232041184921	NA
7125	PG	2238146	2.8306550581577027e-05	7127	0	7054	2231092	0.0	0.0031517157504470216	0.001322583584641562	0.00249	-0.001167416415358438	NA
7126	PG	2211937	2.904425200531121e-05	9527	0	8814	2203123	0.0	0.003984742784265556	0.0035746523659142475	0.005329	-0.001754347634085753	NA
7165	PG	2237765	2.8682422124400858e-05	9542	0	7999	2229766	0.0	0.0035745487126664327	0.0017749813842021852	0.00337	-0.001595018615797815	NA
7203	PG	2239713	2.8473018900031232e-05	7323	0	13794	2225919	0.0	0.0061588248137149715	0.002907382937074863	0.003156	-0.0002486170629251369	NA
7209	PG	2283782	2.8683367915236356e-05	9739	0	718	2283064	0.0	0.0003143907781040397	0.013564860358109537	0.005536	0.008028860358109537	NA
7218	PG	2215360	2.8427877459603648e-05	9653	0	14174	2201186	0.0	0.006398057200635562	0.0012009214083623522	0.003827	-0.002626078591637648	NA
7244	PG	2224892	2.923083918491429e-05	7164	0	6831	2218061	0.0	0.0030702613879684945	0.0020647955031150547	0.003757	-0.0016922044968849452	NA
7268	PG	2215228	2.9479500752572993e-05	10013	0	9579	2205649	0.0	0.004324159860745711	0.0025307599968081764	0.003544	-0.0010132400031918234	NA
7273	PG	2237421	2.7781171999560018e-05	9542	0	41493	2195928	0.0	0.018545012315518625	0.005015585761250252	0.004356	0.0006595857612502528	No-0
7276	PG	2216745	2.9557100977851706e-05	9977	0	15610	2201135	0.0	0.007041856415600351	0.0019151306652491784	0.004227	-0.0023118693347508215	NA
7282	PG	2232808	2.924023428389622e-05	9743	0	8290	2224518	0.0	0.003712813640940018	0.0035983745519733317	0.00638	-0.0027816254480266685	NA
7287	PG	2235585	2.9332179600935696e-05	9941	0	8665	2226920	0.0	0.0038759429858403953	0.002899874613497204	0.003596	-0.0006961253865027956	NA
7296	PG	2227681	2.8407250893976186e-05	9925	0	19088	2208593	0.0	0.008568551780977618	0.0032153534247829885	0.004323	-0.001107646575217011	NA
7333	PG	2149530	2.853791497948416e-05	6915	0	9455	2140075	0.0	0.0043986359808888455	0.00031544484711120324	0.004418	-0.004102555152888797	NA
7353	PG	2218194	2.9021456839985904e-05	9944	0	5873	2212321	0.0	0.0026476493940566065	0.0005261985457767228	0.002649	-0.002122801454223277	NA
7384	PG	2253040	2.8067395521402072e-05	9736	0	7432	2245608	0.0	0.003298654262685083	0.003525644535819647	0.00277	0.0007556445358196471	NA
7394	PG	2195437	2.7876851402556918e-05	6073	0	11357	2184080	0.0	0.005173002003701313	0.0017867018475045842	0.004522	-0.0027352981524954158	NA
7404	PG	2218556	2.7840846575553597e-05	6939	0	10661	2207895	0.0	0.0048053779124800095	0.0011888308607035064	0.003143	-0.0019541691392964936	NA
7521	PG	2229465	2.8382786800797312e-05	9933	0	11878	2217587	0.0	0.005327735577817997	0.0034172513796561273	0.003849	-0.00043174862034387265	NA
8240	PG	2201718	2.831093611336323e-05	8354	0	12013	2189705	0.0	0.005456193754150168	0.0011531769175052973	0.003641	-0.002487823082494703	NA
8311	PG	2190354	2.8832081044691555e-05	9574	0	8492	2181862	0.0	0.0038769988778069664	0.0004641214933886251	0.003785	-0.003320878506611375	NA
8312	PG	2221654	2.8360078462883746e-05	6216	0	13093	2208561	0.0	0.00589335693136735	0.002560336942997619	0.004372	-0.001811663057002381	NA
8357	PG	2236980	2.8262584532605266e-05	6216	0	17840	2219140	0.0	0.007975037774141923	0.0038560768971480737	0.003112	0.0007440768971480735	NA
8376	PG	2238922	2.9870967058104812e-05	9507	0	6004	2232918	0.0	0.002681647685805937	0.0026790773271478277	0.004588	-0.0019089226728521724	NA
9057	PG	2207307	2.8881089731271692e-05	9542	0	11783	2195524	0.0	0.005338179057104426	0.0015812607918486677	0.003745	-0.0021637392081513326	NA
9058	PG	2199350	2.9744360106302127e-05	9748	0	10077	2189273	0.0	0.004581808261531816	0.0009906082544360218	0.00305	-0.0020593917455639784	NA
9323	PG	2227423	2.844306046434752e-05	7165	0	3987	2223436	0.0	0.001789960865089388	0.0070134480335041355	0.008321	-0.0013075519664958648	NA
9371	PG	2220988	2.978164916395722e-05	9977	0	9669	2211319	0.0	0.004353467916080591	0.0008349065246449895	0.002363	-0.0015280934753550105	NA
9394	PG	2220115	3.209956308642692e-05	9977	0	8348	2211767	0.0	0.0037601655770083983	0.0013768565311844192	0.002517	-0.001140143468815581	NA
9427	PG	2237699	2.8783197297907716e-05	9748	0	2792	2234907	0.0	0.0012477102595121149	0.006794650529814413	0.006004	0.0007906505298144132	NA
9481	PG	2218178	2.8370566269638894e-05	9764	0	9129	2209049	0.0	0.004115539871011253	0.009163114508272658	0.007513	0.0016501145082726586	NA
9507	PG	1912390	3.109629371355368e-05	9940	0	2285	1910105	0.0	0.0011948399646515616	4.703396164379016e-16	0.003373	-0.0033729999999995296	NA
9510	PG	2132836	2.850796878193496e-05	6073	0	4870	2127966	0.0	0.002283344804757609	1.3794878652285191e-06	0.0028	-0.0027986205121347716	NA
9512	PG	2241752	2.8417685377288407e-05	9323	0	5169	2236583	0.0	0.0023057858317958456	0.0038733522346726195	0.003886	-1.2647765327380642e-05	NA
9517	PG	2182980	2.885676976410386e-05	7353	0	13725	2169255	0.0	0.006287277024984196	0.00045579840797086547	0.002651	-0.002195201592029135	NA
9521	PG	2209724	3.1670462401625236e-05	9977	0	13304	2196420	0.0	0.006020661403867632	0.004335518561579511	0.004242	9.351856157951109e-05	NA
9522	PG	2239817	2.89710399097746e-05	9739	0	8624	2231193	0.0	0.003850314556948179	0.006263137682109534	0.003679	0.002584137682109534	NA
9523	PG	2216089	2.92497896940121e-05	9966	0	10794	2205295	0.0	0.004870743007162619	0.007039173960344333	0.006018	0.001021173960344333	NA
9524	PG	2230725	2.884182800868525e-05	9925	0	11727	2218998	0.0	0.005257035268802743	0.0012254225294415634	0.002615	-0.0013895774705584367	NA
9526	PG	2204101	2.9209019745297348e-05	9739	0	18307	2185794	0.0	0.008305880719622195	0.0020402290730317644	0.003399	-0.0013587709269682357	NA
9527	PG	2160828	3.050962813457093e-05	9977	0	8668	2152160	0.0	0.004011425249950482	0.001041867906394965	0.004869	-0.0038271320936050348	NA
9528	PG	2191038	2.8422658812165615e-05	768	0	8980	2182058	0.0	0.004098514037638781	0.0013158437187036967	0.002444	-0.0011281562812963033	NA
9529	PG	2202305	2.971971964241795e-05	9978	0	12620	2189685	0.0	0.005730359782137351	0.0020478275020802913	0.003472	-0.0014241724979197085	NA
9534	PG	2225950	3.012637653439661e-05	10013	0	12517	2213433	0.0	0.005623217053392933	0.005560689866723745	0.003272	0.0022886898667237444	NA
9535	PG	2189455	2.9115720894850886e-05	9606	0	13151	2176304	0.0	0.0060065176036958965	0.0019009404505714997	0.003727	-0.0018260595494285002	NA
9539	PG	2192486	2.82334530118036e-05	7316	0	10404	2182082	0.0	0.004745298259601202	0.006365125899259849	0.008529	-0.002163874100740151	NA
9544	PG	2247264	2.787836291116125e-05	6150	0	6773	2240491	0.0	0.0030138871089467013	0.006757128469702741	0.003675	0.0030821284697027415	NA
9547	PG	2219325	2.8725824221931646e-05	9584	0	14578	2204747	0.0	0.006568663895553828	0.001971450193417179	0.002894	-0.0009225498065828209	NA
9548	PG	2225053	2.8278651548211284e-05	6209	0	8767	2216286	0.0	0.003940130864298513	0.006386448532391889	0.004022	0.0023644485323918883	NA
9560	PG	2248822	3.0520885778589e-05	9507	0	6856	2241966	0.0	0.0030487072787441605	0.003040831002075888	0.002767	0.00027383100207588806	NA
9562	PG	2213191	2.8208782906109437e-05	9481	0	11478	2201713	0.0	0.005186176882157934	0.0012092246158613123	0.00275	-0.0015407753841386875	NA
9574	PG	2179904	2.8832081044691555e-05	8311	0	12924	2166980	0.0	0.005928701447403188	0.001013940332700689	0.002131	-0.0011170596672993112	NA
9577	PG	2219398	2.841443641307789e-05	6180	0	9228	2210170	0.0	0.0041578842550998064	0.0005417976770709144	0.002224	-0.0016822023229290854	NA
9579	PG	2223446	2.8362415864837535e-05	7077	0	9729	2213717	0.0	0.004375640334867589	0.0035512640590417907	0.003383	0.00016826405904179055	NA
9584	PG	2201911	2.98507827878429e-05	9985	0	12668	2189243	0.0	0.005753184393011344	0.0068086292178246915	0.007669	-0.0008603707821753081	NA
9586	PG	2216447	2.9030124125496084e-05	9698	0	11361	2205086	0.0	0.005125771110249873	0.0009689856189804336	0.002693	-0.0017240143810195664	NA
9587	PG	2206458	2.8611766256976694e-05	9659	0	11429	2195029	0.0	0.005179794947377199	0.0037571038372270654	0.004391	-0.0006338961627729346	NA
9591	PG	2199952	2.880414924903954e-05	6195	0	12822	2187130	0.0	0.005828308981286864	0.005574208481322046	0.00558	-5.791518677953668e-06	NA
9595	PG	2200224	2.8704621922539894e-05	6074	0	12032	2188192	0.0	0.0054685341128903235	0.002573761028342245	0.00396	-0.0013862389716577548	NA
9596	PG	2196956	2.9301064954182203e-05	6911	0	16431	2180525	0.0	0.007478984558634765	0.006905374088194777	0.006157	0.0007483740881947766	NA
9597	PG	2199671	2.905016871175981e-05	6911	0	12407	2187264	0.0	0.005640388949074657	0.0003322749541792439	0.002438	-0.002105725045820756	NA
9598	PG	2192998	2.9322798059892854e-05	9606	0	5630	2187368	0.0	0.0025672618032483384	0.005955436579491317	0.004716	0.001239436579491317	NA
9602	PG	2208397	2.8119890615875095e-05	8357	0	12857	2195540	0.0	0.005821869890241655	0.002617384881929472	0.003215	-0.0005976151180705279	NA
9612	PG	2229461	2.828350571564397e-05	6961	0	10964	2218497	0.0	0.004917780575663804	0.006102263327855522	0.005236	0.0008662633278555222	NA
9619	PG	2280174	2.8162717529273704e-05	9612	0	14025	2266149	0.0	0.006150846382776051	0.0070161125477382815	0.004897	0.002119112547738281	NA
9625	PG	2252991	2.8407940712851418e-05	6013	0	11761	2241230	0.0	0.00522017176278112	0.010104500146317244	0.008666	0.0014385001463172436	NA
