accA	accB	jaccard_1001g	jaccard_cactus
10006	6945	0.29759213	0.623174
10006	6958	0.31566137	0.64218
10006	6963	0.32469705	0.634882
10006	6979	0.3179387	0.652151
10006	7000	0.29911453	0.628136
10006	7002	0.29134926	0.622395
10006	7003	0.3122467	0.624117
10006	7025	0.32062072	0.623206
10006	7063	0.30844456	0.610344
10006	7092	0.31053743	0.634575
10006	7127	0.3114356	0.624628
10006	7143	0.28266802	0.624023
10006	7164	0.3020141	0.574408
10006	7186	0.31477925	0.630862
10006	7217	0.3198249	0.637767
10006	7255	0.27438527	0.632355
10006	7288	0.29924396	0.628717
10006	7298	0.30986276	0.628717
10006	7316	0.2916757	0.629741
10006	7323	0.33236438	0.63114
10006	7346	0.2982991	0.63192
10006	7347	0.31386122	0.635008
10006	7372	0.313732	0.63873
10006	7378	0.30054268	0.629092
10006	7411	0.30376178	0.637989
10006	763	0.32523808	0.634108
10006	765	0.32304895	0.617919
10006	766	0.3193517	0.621209
10006	768	0.32874334	0.63826
10006	772	0.3261	0.629777
10006	8214	0.30440417	0.624915
10006	8230	0.31034017	0.61844
10006	8231	0.3101629	0.627052
10006	8247	0.29988217	0.62968
10006	8249	0.3182872	0.63232
10006	8351	0.29950997	0.628903
10006	8354	0.3225899	0.629215
10006	8387	0.27141234	0.63057
10006	9416	0.31349686	0.629286
10006	9470	0.3099275	0.629494
10006	9506	0.30293196	0.622856
10006	9518	0.29195577	0.595561
10006	9537	0.31755754	0.628016
10006	9542	0.28259382	0.575621
10006	9549	0.27941525	0.572698
10006	9555	0.28451252	0.567564
10006	9557	0.29573402	0.601412
10006	9559	0.30894786	0.626127
10006	9564	0.2946636	0.608009
10006	9565	0.31910706	0.624867
10006	9594	0.2974706	0.616278
10006	9600	0.28798857	0.570916
10006	9606	0.32120115	0.574109
10006	9637	0.33087322	0.636289
10006	9653	0.3448232	0.638594
10006	9758	0.3377867	0.631916
10006	9759	0.33933473	0.644172
10006	9764	0.31777996	0.578681
10006	9837	0.2857753	0.573368
10006	9879	0.28525606	0.567466
10006	9910	0.299076	0.632953
10006	9940	0.3325294	0.582672
10006	9947	0.2793119	0.590432
10006	9992	0.34828657	0.620501
159	5772	0.3233954	0.650388
159	5784	0.30093646	0.637659
159	5811	0.33710968	0.663639
159	6150	0.303558	0.659725
159	6184	0.30516705	0.641002
159	6244	0.2817012	0.625848
159	6898	0.31886905	0.645477
159	6911	0.28347564	0.596169
159	6915	0.3330536	0.672741
159	6929	0.2783795	0.627882
159	6932	0.29389	0.652369
159	6938	0.2894402	0.629208
159	6939	0.30977356	0.647492
159	6945	0.32508993	0.663109
159	6958	0.37450415	0.691119
159	6963	0.27296302	0.620439
159	6979	0.3277615	0.670793
159	7000	0.3083455	0.653824
159	7002	0.30243388	0.65455
159	7003	0.33767092	0.659746
159	7025	0.32776284	0.64844
159	7063	0.31044942	0.631204
159	7092	0.3350472	0.669267
159	7127	0.3009236	0.652484
159	7143	0.29470193	0.650576
159	7164	0.29399395	0.568652
159	7186	0.2923069	0.6448
159	7217	0.33791336	0.665924
159	7255	0.279148	0.646535
159	7288	0.30352485	0.654398
159	7298	0.30492362	0.648433
159	7316	0.3174789	0.66363
159	7323	0.2966589	0.635457
159	7346	0.29986358	0.657472
159	7347	0.29004842	0.643191
159	7372	0.3340619	0.670936
159	7378	0.31365094	0.661523
159	7411	0.3013892	0.654786
159	763	0.2790807	0.621108
159	765	0.28698957	0.620809
159	766	0.28353703	0.620317
159	768	0.27759767	0.62731
159	772	0.27859512	0.620916
159	8214	0.35535845	0.676674
159	8230	0.32109526	0.655126
159	8231	0.30128807	0.645914
159	8247	0.30858773	0.649861
159	8249	0.298213	0.643933
159	8351	0.28802073	0.6436
159	8354	0.27598548	0.623002
159	8387	0.32693535	0.676927
159	9416	0.31655017	0.652564
159	9470	0.30477583	0.64459
159	9506	0.33037633	0.654232
159	9518	0.27055877	0.631262
159	9537	0.31962684	0.647938
159	9542	0.24863777	0.585599
159	9549	0.24976449	0.585732
159	9555	0.25302747	0.576864
159	9557	0.30041757	0.629455
159	9559	0.31523433	0.647295
159	9564	0.29756314	0.632684
159	9565	0.32494995	0.653362
159	9594	0.29064858	0.647457
159	9600	0.24910021	0.567945
159	9606	0.29402184	0.58813
159	9637	0.27451116	0.622778
159	9653	0.3470854	0.659431
159	9758	0.2821618	0.618572
159	9759	0.32865465	0.650554
159	9764	0.28213623	0.576518
159	9837	0.2569969	0.581497
159	9879	0.24800414	0.575198
159	9910	0.32717362	0.669502
159	9940	0.30846226	0.599909
159	9947	0.24726984	0.607548
159	9992	0.32506368	0.634693
5772	5784	0.27292055	0.655979
5772	5811	0.3109414	0.656334
5772	6150	0.2996403	0.964282
5772	6184	0.2782757	0.653405
5772	6244	0.27359986	0.661163
5772	6898	0.30166844	0.635937
5772	6911	0.26707295	0.589943
5772	6915	0.31083095	0.660843
5772	6929	0.27590302	0.627892
5772	6932	0.29736242	0.660187
5772	6938	0.28818694	0.628857
5772	6939	0.30357695	0.65043
5772	6945	0.341902	0.654608
5772	6958	0.32396448	0.663406
5772	6963	0.27739796	0.624789
5772	6979	0.3352208	0.660426
5772	7000	0.30869305	0.652965
5772	7002	0.2905062	0.665129
5772	7003	0.4056898	0.643134
5772	7025	0.32509342	0.642007
5772	7063	0.29744926	0.612293
5772	7092	0.30740583	0.665735
5772	7127	0.30101103	0.669832
5772	7143	0.28423184	0.651479
5772	7164	0.31766185	0.56536
5772	7186	0.28222093	0.640495
5772	7217	0.31690326	0.652619
5772	7255	0.285871	0.639808
5772	7288	0.30984777	0.655817
5772	7298	0.32209688	0.642483
5772	7316	0.3145275	0.672893
5772	7323	0.28390732	0.629467
5772	7346	0.29806125	0.68562
5772	7347	0.30659908	0.646332
5772	7372	0.3281914	0.665233
5772	7378	0.4026973	0.654158
5772	7411	0.33510816	0.662912
5772	763	0.27763075	0.622726
5772	765	0.2804993	0.622504
5772	766	0.27143568	0.621912
5772	768	0.2730478	0.621271
5772	772	0.2799282	0.615867
5772	8214	0.309721	0.686236
5772	8230	0.30589035	0.675053
5772	8231	0.29637828	0.655053
5772	8247	0.29209328	0.702765
5772	8249	0.29492828	0.663085
5772	8351	0.28619182	0.671213
5772	8354	0.28341317	0.620973
5772	8387	0.31087723	0.670402
5772	9416	0.28571323	0.667899
5772	9470	0.2972965	0.650933
5772	9506	0.30439886	0.641384
5772	9518	0.2527548	0.601245
5772	9537	0.2971017	0.627369
5772	9542	0.22985004	0.593136
5772	9549	0.23779082	0.58213
5772	9555	0.24105571	0.578612
5772	9557	0.2765616	0.622062
5772	9559	0.30589643	0.647562
5772	9564	0.272682	0.622533
5772	9565	0.31056854	0.656211
5772	9594	0.27242875	0.629617
5772	9600	0.22890913	0.572432
5772	9606	0.2775658	0.587307
5772	9637	0.27142236	0.618652
5772	9653	0.31567013	0.646403
5772	9758	0.28008503	0.620045
5772	9759	0.3184091	0.638778
5772	9764	0.262833	0.577164
5772	9837	0.23887603	0.575218
5772	9879	0.23674572	0.570686
5772	9910	0.3074973	0.654877
5772	9940	0.2962826	0.598362
5772	9947	0.23026246	0.600512
5772	9992	0.31414592	0.62405
5784	5811	0.29257718	0.639399
5784	6150	0.32377616	0.666129
5784	6184	0.37396073	0.674684
5784	6244	0.4041268	0.68521
5784	6898	0.29651147	0.631907
5784	6911	0.31937283	0.59087
5784	6915	0.2770835	0.64154
5784	6929	0.29444584	0.629089
5784	6932	0.292881	0.645246
5784	6938	0.29741308	0.631065
5784	6939	0.29025623	0.635592
5784	6945	0.2936701	0.637469
5784	6958	0.29611874	0.656122
5784	6963	0.30055043	0.63066
5784	6979	0.28170475	0.646696
5784	7000	0.305998	0.653744
5784	7002	0.30472472	0.652798
5784	7003	0.28020713	0.626634
5784	7025	0.29018596	0.627518
5784	7063	0.29765734	0.619423
5784	7092	0.32114825	0.661729
5784	7127	0.28466496	0.632523
5784	7143	0.30094928	0.659757
5784	7164	0.32871035	0.57385
5784	7186	0.28840423	0.644755
5784	7217	0.3137601	0.653806
5784	7255	0.26213613	0.631438
5784	7288	0.30233467	0.648661
5784	7298	0.27880383	0.629962
5784	7316	0.31187984	0.654675
5784	7323	0.29359376	0.626648
5784	7346	0.2942792	0.653389
5784	7347	0.29003146	0.641035
5784	7372	0.28929427	0.647312
5784	7378	0.2769044	0.630041
5784	7411	0.28348476	0.651487
5784	763	0.30080524	0.628556
5784	765	0.3078659	0.626342
5784	766	0.29474956	0.623306
5784	768	0.2954768	0.630186
5784	772	0.2931414	0.623809
5784	8214	0.30828	0.647419
5784	8230	0.35874057	0.668409
5784	8231	0.32578403	0.646862
5784	8247	0.32664686	0.663834
5784	8249	0.32290128	0.664156
5784	8351	0.39839825	0.691442
5784	8354	0.29851118	0.628224
5784	8387	0.27841562	0.652506
5784	9416	0.34267315	0.662263
5784	9470	0.3384765	0.663138
5784	9506	0.28681943	0.63118
5784	9518	0.31112254	0.616025
5784	9537	0.26939166	0.612186
5784	9542	0.30300564	0.604408
5784	9549	0.29378885	0.593601
5784	9555	0.29095092	0.582955
5784	9557	0.35718066	0.642571
5784	9559	0.28393483	0.638423
5784	9564	0.3429098	0.644277
5784	9565	0.31299335	0.640623
5784	9594	0.34966198	0.648436
5784	9600	0.29563928	0.587486
5784	9606	0.32221833	0.588373
5784	9637	0.2964909	0.629814
5784	9653	0.2899595	0.627504
5784	9758	0.3023155	0.624429
5784	9759	0.28873983	0.628925
5784	9764	0.31007057	0.579647
5784	9837	0.282375	0.585219
5784	9879	0.29202512	0.58273
5784	9910	0.29016134	0.637949
5784	9940	0.3305434	0.605198
5784	9947	0.28549796	0.601894
5784	9992	0.3042574	0.613348
5811	6150	0.29076794	0.655792
5811	6184	0.2714941	0.62404
5811	6244	0.28084895	0.628869
5811	6898	0.30119905	0.635923
5811	6911	0.2627203	0.575762
5811	6915	0.26845014	0.676589
5811	6929	0.2582834	0.618042
5811	6932	0.2706621	0.631537
5811	6938	0.2689006	0.639198
5811	6939	0.27493462	0.672915
5811	6945	0.28117076	0.673224
5811	6958	0.31500924	0.659246
5811	6963	0.267755	0.632063
5811	6979	0.29466808	0.64805
5811	7000	0.29112515	0.685929
5811	7002	0.29128203	0.651492
5811	7003	0.31247863	0.683723
5811	7025	0.31002694	0.691315
5811	7063	0.2895284	0.613124
5811	7092	0.322816	0.663675
5811	7127	0.26847804	0.624899
5811	7143	0.32033113	0.665915
5811	7164	0.2942639	0.56219
5811	7186	0.26522434	0.632564
5811	7217	0.3305789	0.662748
5811	7255	0.25868613	0.63288
5811	7288	0.28428447	0.681412
5811	7298	0.29329032	0.676498
5811	7316	0.30783632	0.671529
5811	7323	0.26614594	0.616508
5811	7346	0.2886893	0.656212
5811	7347	0.2692646	0.631136
5811	7372	0.29224616	0.643517
5811	7378	0.29316548	0.6839
5811	7411	0.30097225	0.655606
5811	763	0.2659057	0.630505
5811	765	0.26755634	0.632073
5811	766	0.26387933	0.623774
5811	768	0.26357216	0.624818
5811	772	0.26316386	0.629983
5811	8214	0.3390652	0.664318
5811	8230	0.29528743	0.632926
5811	8231	0.28614202	0.636671
5811	8247	0.27764204	0.642578
5811	8249	0.27701172	0.635046
5811	8351	0.28375855	0.636418
5811	8354	0.26619816	0.632893
5811	8387	0.26916358	0.664194
5811	9416	0.29518703	0.639678
5811	9470	0.2948644	0.663744
5811	9506	0.29209784	0.634198
5811	9518	0.24721089	0.593274
5811	9537	0.288424	0.63078
5811	9542	0.24715109	0.579323
5811	9549	0.23819155	0.57365
5811	9555	0.24229988	0.564683
5811	9557	0.26911804	0.60291
5811	9559	0.2782063	0.627772
5811	9564	0.27075937	0.61357
5811	9565	0.28800145	0.63932
5811	9594	0.2741128	0.615811
5811	9600	0.23599571	0.564405
5811	9606	0.27628553	0.579308
5811	9637	0.26139045	0.632001
5811	9653	0.29820687	0.636876
5811	9758	0.26212928	0.617796
5811	9759	0.2839229	0.630628
5811	9764	0.2669941	0.568687
5811	9837	0.242022	0.565385
5811	9879	0.23963104	0.568511
5811	9910	0.3122983	0.657858
5811	9940	0.28451854	0.585135
5811	9947	0.23645762	0.597907
5811	9992	0.29048026	0.619629
6150	6184	0.32729778	0.663497
6150	6244	0.32254678	0.670697
6150	6898	0.30240738	0.645794
6150	6911	0.28422242	0.595684
6150	6915	0.29380494	0.659776
6150	6929	0.27366006	0.63524
6150	6932	0.29452005	0.672158
6150	6938	0.28882706	0.631532
6150	6939	0.3033484	0.649926
6150	6945	0.28832185	0.652309
6150	6958	0.29812285	0.675154
6150	6963	0.2804056	0.62766
6150	6979	0.29316726	0.669224
6150	7000	0.30430847	0.653172
6150	7002	0.3104097	0.677209
6150	7003	0.28362855	0.642371
6150	7025	0.29083794	0.639967
6150	7063	0.2748855	0.620443
6150	7092	0.31247818	0.677852
6150	7127	0.30070257	0.680168
6150	7143	0.287425	0.66154
6150	7164	0.3261427	0.571484
6150	7186	0.2755451	0.649749
6150	7217	0.3027943	0.66001
6150	7255	0.26962018	0.647326
6150	7288	0.31093976	0.655131
6150	7298	0.27554736	0.643596
6150	7316	0.31570897	0.672356
6150	7323	0.29025283	0.637516
6150	7346	0.325315	0.69819
6150	7347	0.29272616	0.656895
6150	7372	0.30387276	0.675798
6150	7378	0.28970242	0.653347
6150	7411	0.28539336	0.673072
6150	763	0.2858219	0.627395
6150	765	0.28852314	0.626422
6150	766	0.28089193	0.626206
6150	768	0.2766723	0.626275
6150	772	0.27191797	0.617961
6150	8214	0.326056	0.698429
6150	8230	0.3255209	0.683825
6150	8231	0.3137809	0.666204
6150	8247	0.43244237	0.715903
6150	8249	0.3158598	0.673721
6150	8351	0.32950267	0.68188
6150	8354	0.27746233	0.623371
6150	8387	0.29307765	0.669142
6150	9416	0.33225054	0.680355
6150	9470	0.3049232	0.650254
6150	9506	0.29378304	0.651697
6150	9518	0.26212457	0.608102
6150	9537	0.27458268	0.63612
6150	9542	0.25593564	0.600001
6150	9549	0.24900535	0.587957
6150	9555	0.25909185	0.584909
6150	9557	0.29697683	0.627563
6150	9559	0.28657722	0.657385
6150	9564	0.28742263	0.62967
6150	9565	0.31270668	0.667058
6150	9594	0.2915497	0.636951
6150	9600	0.25273815	0.578188
6150	9606	0.29510945	0.593096
6150	9637	0.27433756	0.621201
6150	9653	0.29927942	0.655118
6150	9758	0.28367263	0.624785
6150	9759	0.2937725	0.647414
6150	9764	0.28551733	0.583579
6150	9837	0.24871632	0.582296
6150	9879	0.24823761	0.578039
6150	9910	0.298947	0.663517
6150	9940	0.31340235	0.607459
6150	9947	0.243789	0.608232
6150	9992	0.30612212	0.629828
6184	6244	0.5096099	0.745774
6184	6898	0.3187994	0.64354
6184	6911	0.29972085	0.580058
6184	6915	0.28286266	0.639013
6184	6929	0.306999	0.639979
6184	6932	0.2986761	0.659355
6184	6938	0.31308994	0.628558
6184	6939	0.283185	0.636594
6184	6945	0.28405523	0.631282
6184	6958	0.27273163	0.652374
6184	6963	0.2979055	0.623701
6184	6979	0.2843421	0.64816
6184	7000	0.28923154	0.635652
6184	7002	0.30589986	0.659393
6184	7003	0.28257537	0.629366
6184	7025	0.29196712	0.622874
6184	7063	0.28938854	0.613863
6184	7092	0.3149561	0.658195
6184	7127	0.2921797	0.636377
6184	7143	0.30779248	0.651906
6184	7164	0.32563838	0.56758
6184	7186	0.2933364	0.64589
6184	7217	0.3056729	0.647494
6184	7255	0.26465163	0.628511
6184	7288	0.31564358	0.644924
6184	7298	0.2934612	0.636881
6184	7316	0.32451907	0.661566
6184	7323	0.3066035	0.633071
6184	7346	0.28690448	0.645503
6184	7347	0.3045326	0.647798
6184	7372	0.30281705	0.653389
6184	7378	0.26893246	0.635146
6184	7411	0.28928137	0.651749
6184	763	0.30372137	0.625639
6184	765	0.31023005	0.62263
6184	766	0.2993846	0.624662
6184	768	0.30376258	0.631912
6184	772	0.30463788	0.626529
6184	8214	0.31241584	0.650655
6184	8230	0.30624703	0.639708
6184	8231	0.31276795	0.653188
6184	8247	0.3221776	0.664591
6184	8249	0.32379285	0.65803
6184	8351	0.47190592	0.754422
6184	8354	0.29424062	0.620293
6184	8387	0.28277728	0.649497
6184	9416	0.36090437	0.669949
6184	9470	0.31278503	0.642418
6184	9506	0.28984958	0.62673
6184	9518	0.29261005	0.608749
6184	9537	0.28204745	0.620171
6184	9542	0.28349394	0.587502
6184	9549	0.27787325	0.580462
6184	9555	0.28137726	0.576134
6184	9557	0.310729	0.62598
6184	9559	0.28857812	0.643809
6184	9564	0.3076773	0.624058
6184	9565	0.30498174	0.642121
6184	9594	0.3056125	0.628684
6184	9600	0.27819318	0.580631
6184	9606	0.2996222	0.581175
6184	9637	0.29653445	0.624612
6184	9653	0.2917324	0.6336
6184	9758	0.31329247	0.631686
6184	9759	0.29423076	0.632987
6184	9764	0.302622	0.577688
6184	9837	0.27461898	0.577851
6184	9879	0.27932552	0.575802
6184	9910	0.3048581	0.646348
6184	9940	0.31882605	0.595406
6184	9947	0.27792183	0.597382
6184	9992	0.30930862	0.620769
6244	6898	0.30718815	0.637999
6244	6911	0.29822993	0.582839
6244	6915	0.26614866	0.638381
6244	6929	0.31289527	0.641665
6244	6932	0.2930578	0.657664
6244	6938	0.31389013	0.636865
6244	6939	0.28203174	0.636895
6244	6945	0.2849235	0.633736
6244	6958	0.27767447	0.642313
6244	6963	0.30550027	0.631591
6244	6979	0.27860352	0.641155
6244	7000	0.2772663	0.629817
6244	7002	0.29611787	0.659967
6244	7003	0.26947373	0.624642
6244	7025	0.28347147	0.625119
6244	7063	0.27785268	0.605412
6244	7092	0.30706754	0.662568
6244	7127	0.28667596	0.65314
6244	7143	0.30993494	0.666012
6244	7164	0.3301761	0.56708
6244	7186	0.2954673	0.655727
6244	7217	0.28525525	0.633371
6244	7255	0.25149256	0.630255
6244	7288	0.3124254	0.642484
6244	7298	0.27172926	0.62846
6244	7316	0.31171224	0.658452
6244	7323	0.32246527	0.645996
6244	7346	0.2956703	0.666447
6244	7347	0.2912457	0.650918
6244	7372	0.287957	0.657121
6244	7378	0.2636442	0.628957
6244	7411	0.26967624	0.650873
6244	763	0.32202926	0.634909
6244	765	0.32155234	0.630932
6244	766	0.3074257	0.623107
6244	768	0.317089	0.63759
6244	772	0.31279108	0.630543
6244	8214	0.2980155	0.657892
6244	8230	0.30962527	0.64521
6244	8231	0.30937567	0.643209
6244	8247	0.3072666	0.652618
6244	8249	0.31720605	0.666355
6244	8351	0.42311826	0.707595
6244	8354	0.3085594	0.627696
6244	8387	0.2683665	0.64466
6244	9416	0.34345403	0.675162
6244	9470	0.31289807	0.633925
6244	9506	0.28132442	0.618987
6244	9518	0.28292972	0.599958
6244	9537	0.26227853	0.605115
6244	9542	0.2951177	0.596665
6244	9549	0.2746053	0.578248
6244	9555	0.28608444	0.57984
6244	9557	0.31612876	0.628816
6244	9559	0.28756264	0.646184
6244	9564	0.303061	0.621379
6244	9565	0.3045647	0.651442
6244	9594	0.2973556	0.620076
6244	9600	0.28329384	0.576463
6244	9606	0.30581087	0.581521
6244	9637	0.2983154	0.625687
6244	9653	0.2846695	0.63148
6244	9758	0.3180607	0.634067
6244	9759	0.28642905	0.627869
6244	9764	0.28883308	0.571764
6244	9837	0.27420175	0.573905
6244	9879	0.27378243	0.568452
6244	9910	0.30473378	0.653615
6244	9940	0.32176465	0.603342
6244	9947	0.2776823	0.600547
6244	9992	0.30618465	0.619575
6898	6911	0.26822072	0.568304
6898	6915	0.31945333	0.665604
6898	6929	0.29589286	0.632882
6898	6932	0.29702336	0.645895
6898	6938	0.28839695	0.622467
6898	6939	0.3026703	0.647269
6898	6945	0.2856307	0.639577
6898	6958	0.3057886	0.656934
6898	6963	0.30410033	0.625596
6898	6979	0.29137006	0.643263
6898	7000	0.28799713	0.638518
6898	7002	0.30923003	0.657023
6898	7003	0.30393162	0.647534
6898	7025	0.29264224	0.625007
6898	7063	0.30816007	0.628968
6898	7092	0.3180648	0.652243
6898	7127	0.27814054	0.627579
6898	7143	0.33976576	0.665209
6898	7164	0.30397797	0.555282
6898	7186	0.2806436	0.634348
6898	7217	0.339865	0.657828
6898	7255	0.28363445	0.636467
6898	7288	0.30496666	0.64079
6898	7298	0.29890978	0.64493
6898	7316	0.3271195	0.671263
6898	7323	0.29936263	0.630162
6898	7346	0.2892796	0.641023
6898	7347	0.2861016	0.629063
6898	7372	0.29623914	0.644938
6898	7378	0.29977688	0.649172
6898	7411	0.30951822	0.653154
6898	763	0.3048043	0.624151
6898	765	0.30877167	0.621653
6898	766	0.29553282	0.620819
6898	768	0.2954916	0.626917
6898	772	0.29102913	0.617969
6898	8214	0.3265025	0.651808
6898	8230	0.2872704	0.626701
6898	8231	0.3159264	0.642921
6898	8247	0.31616208	0.650232
6898	8249	0.30347732	0.640676
6898	8351	0.28869152	0.635845
6898	8354	0.27924362	0.61557
6898	8387	0.30903283	0.672365
6898	9416	0.30519176	0.640851
6898	9470	0.28679276	0.628194
6898	9506	0.29832962	0.630111
6898	9518	0.2520099	0.588799
6898	9537	0.30448842	0.628265
6898	9542	0.2549154	0.574453
6898	9549	0.2505509	0.56886
6898	9555	0.25216493	0.567506
6898	9557	0.2877543	0.611643
6898	9559	0.3033815	0.650981
6898	9564	0.2799264	0.612962
6898	9565	0.30178514	0.633005
6898	9594	0.28111923	0.613889
6898	9600	0.24872927	0.561576
6898	9606	0.27999726	0.572434
6898	9637	0.28145096	0.615792
6898	9653	0.3149141	0.639423
6898	9758	0.28812033	0.615131
6898	9759	0.3015518	0.63477
6898	9764	0.27743322	0.569692
6898	9837	0.251431	0.568073
6898	9879	0.24730393	0.557832
6898	9910	0.32523748	0.658195
6898	9940	0.29803467	0.584607
6898	9947	0.24780144	0.594694
6898	9992	0.31317464	0.616182
6911	6915	0.24466138	0.582685
6911	6929	0.2828934	0.584716
6911	6932	0.2797646	0.590131
6911	6938	0.2975802	0.584251
6911	6939	0.26874256	0.577481
6911	6945	0.26902857	0.584014
6911	6958	0.2746881	0.591207
6911	6963	0.28450203	0.574529
6911	6979	0.26821184	0.582336
6911	7000	0.2608902	0.577335
6911	7002	0.26213738	0.582589
6911	7003	0.282462	0.583072
6911	7025	0.27394295	0.57727
6911	7063	0.302273	0.579218
6911	7092	0.2693229	0.583621
6911	7127	0.27870074	0.589425
6911	7143	0.26234195	0.582047
6911	7164	0.27737945	0.556936
6911	7186	0.27458915	0.581957
6911	7217	0.2810696	0.587881
6911	7255	0.23268	0.573832
6911	7288	0.27236167	0.581919
6911	7298	0.26714414	0.58084
6911	7316	0.26736656	0.58445
6911	7323	0.2906857	0.585982
6911	7346	0.26339954	0.588389
6911	7347	0.28204858	0.582286
6911	7372	0.28009248	0.59375
6911	7378	0.25297213	0.578321
6911	7411	0.25726232	0.580575
6911	763	0.29224122	0.576273
6911	765	0.29617205	0.576955
6911	766	0.2869527	0.572004
6911	768	0.28581804	0.575611
6911	772	0.28229794	0.572026
6911	8214	0.27409673	0.58973
6911	8230	0.2925348	0.5847
6911	8231	0.2905719	0.581085
6911	8247	0.28015673	0.585828
6911	8249	0.28448388	0.58504
6911	8351	0.29640466	0.584867
6911	8354	0.2966173	0.580439
6911	8387	0.24085946	0.586221
6911	9416	0.28834462	0.583609
6911	9470	0.28816515	0.580284
6911	9506	0.28756505	0.58524
6911	9518	0.3280967	0.58641
6911	9537	0.28478032	0.58543
6911	9542	0.3309321	0.577192
6911	9549	0.33360547	0.577441
6911	9555	0.34529564	0.579908
6911	9557	0.3194856	0.583311
6911	9559	0.2853386	0.583361
6911	9564	0.31351483	0.584212
6911	9565	0.28612632	0.583763
6911	9594	0.3167732	0.58618
6911	9600	0.34452415	0.567456
6911	9606	0.43095034	0.60837
6911	9637	0.29189247	0.575467
6911	9653	0.2846443	0.58138
6911	9758	0.29541907	0.576606
6911	9759	0.2844528	0.583482
6911	9764	0.3484356	0.560644
6911	9837	0.3403798	0.575151
6911	9879	0.35009426	0.576123
6911	9910	0.2616514	0.58652
6911	9940	0.38691548	0.629424
6911	9947	0.34164408	0.574017
6911	9992	0.30098453	0.576733
6915	6929	0.2588093	0.638034
6915	6932	0.27753526	0.658611
6915	6938	0.26146173	0.649129
6915	6939	0.30773187	0.709728
6915	6945	0.33358783	0.728829
6915	6958	0.3015886	0.669638
6915	6963	0.25931752	0.648424
6915	6979	0.28163362	0.661211
6915	7000	0.2920974	0.703649
6915	7002	0.2993088	0.675556
6915	7003	0.3214917	0.722891
6915	7025	0.2848043	0.68489
6915	7063	0.27350205	0.629765
6915	7092	0.28244364	0.658866
6915	7127	0.27877763	0.654787
6915	7143	0.2826	0.659992
6915	7164	0.30340222	0.563324
