ind_id	clone_dir	visor_pct
s_ind018	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind018	1.0
s_ind019	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind019	1.0
s_ind020	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind020	1.0
s_ind021	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind021	1.0
s_ind022	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind022	1.0
s_ind023	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind023	1.0
s_ind024	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind024	1.0
s_ind025	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind025	1.0
s_ind026	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind026	1.0
s_ind027	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind027	1.0
s_ind028	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind028	1.0
s_ind029	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind029	1.0
s_ind030	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind030	1.0
s_ind031	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind031	1.0
s_ind032	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind032	1.0
s_ind033	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind033	1.0
s_ind034	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind034	1.0
s_ind035	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind035	1.0
s_ind036	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind036	1.0
s_ind037	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind037	1.0
s_ind038	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind038	1.0
s_ind039	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind039	1.0
s_ind040	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind040	1.0
s_ind041	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind041	1.0
s_ind042	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind042	1.0
s_ind043	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind043	1.0
s_ind044	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind044	1.0
s_ind045	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind045	1.0
s_ind046	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind046	1.0
s_ind047	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind047	1.0
s_ind048	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind048	1.0
s_ind049	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind049	1.0
s_ind050	/carnegie/nobackup/scratch/tbellagio/hapfire_sv/control_p80/sims/cov10_n50_g3_s42_hotspots_dom500_p80_chr1/haps/s_ind050	1.0
