chrom,pos,ref_len,alt_len,sv_size,p0,beta,z_emp,p_perm,stat,gene,gene_name,n_genes,genes_all,flower_locus
Chr1,8177702,1,122,121,0.01988,0.0221628,3.5972419,1.1019714e-05,dp,AT1G23070,AT1G23070,2,AT1G23070;AT1G23074,
Chr5,15071325,1,3934,3933,0.02965,0.023518415,3.5892115,1.1395715e-05,dp,AT5G37860,AT5G37860,1,AT5G37860,
Chr3,16918663,1,322,321,0.02495,-0.017866092,-3.5812497,1.1864269e-05,dp,AT3G46050,AT3G46050,3,AT3G46050;AT3G46060;AT3G46070,
Chr4,7278345,1,73,72,0.00674375,0.0008929089,3.5759444,1.22200245e-05,dp,AT4G12190,AT4G12190,1,AT4G12190,
Chr4,7275395,1,372,371,0.00674375,0.0008929089,3.5759444,1.22200245e-05,dp,AT4G12170,AT4G12170,1,AT4G12170,
Chr4,17703073,1,1259,1258,0.0062075,0.0010575666,3.5759268,1.22200245e-05,dp,AT4G37680,AT4G37680,3,AT4G37680;AT4G37682;AT4G37685,
Chr4,12523375,1,1435,1434,0.005335,0.0009379297,3.575299,1.2257624e-05,dp,AT4G24120,AT4G24120,1,AT4G24120,
Chr1,6948227,17,1019,1002,0.016725,0.023592386,3.570897,1.2517932e-05,dp,AT1G20030,AT1G20030,2,AT1G20030;AT1G20050,
Chr1,12704239,8,1272,1264,0.00912625,0.018914545,3.570838,1.2517932e-05,dp,,,0,,
Chr3,10457991,118,1,117,0.01224875,0.0015237513,3.569074,1.2601809e-05,dp,AT3G28100,AT3G28100,1,AT3G28100,
Chr3,4331173,1,328,327,0.0079275,0.0009721487,3.5639365,1.2972026e-05,dp,AT3G13330,AT3G13330,2,AT3G13330;AT3G13340,
Chr3,4266444,1,566,565,0.0079275,0.0009721487,3.5639365,1.2972026e-05,dp,AT3G13226,AT3G13226,3,AT3G13226;AT3G13228;AT3G13229,
Chr3,4143318,1,115,114,0.0079275,0.0009721487,3.5639365,1.2972026e-05,dp,AT3G12970,AT3G12970,2,AT3G12970;AT3G12977,
Chr4,6561872,64,1,63,0.00619875,0.0010053182,3.5634673,1.2998056e-05,dp,AT4G10613,AT4G10613,1,AT4G10613,
Chr1,6941852,1,410,409,0.0154225,0.020985698,3.5633993,1.30009485e-05,dp,AT1G20010,AT1G20010,2,AT1G20010;AT1G20020,
Chr5,15092133,1535,5654,4119,0.03036,0.022675633,3.5543327,1.3605442e-05,dp,AT5G37890,AT5G37890,2,AT5G37890;AT5G37900,
Chr5,15095428,1,1231,1230,0.03036,0.022675633,3.5543327,1.3605442e-05,dp,AT5G37900,AT5G37900,2,AT5G37900;AT5G37910,
Chr4,9654783,1,563,562,0.00641,0.00092768075,3.5538912,1.3648827e-05,dp,AT4G17210,AT4G17210,2,AT4G17210;AT4G17215,
Chr4,9859586,1,73,72,0.07181625,-0.021790147,-3.5524373,1.3764519e-05,dp,AT4G17710,AT4G17710,2,AT4G17710;AT4G17713,
Chr5,15453785,2385,1728,657,0.0156725,0.0214726,3.5523825,1.3764519e-05,dp,AT5G38580,AT5G38580,3,AT5G38580;AT5G38590;AT5G38600,
Chr4,3318599,82,1,81,0.00592875,0.0009562228,3.5502925,1.39120275e-05,dp,AT4G06526,AT4G06526,1,AT4G06526,
Chr4,956597,1,353,352,0.00612125,0.0008422397,3.5498178,1.394095e-05,dp,AT4G02160,AT4G02160,2,AT4G02160;AT4G02170,
Chr4,9881318,112,1,111,0.00535875,0.0007135733,3.54704,1.4079782e-05,dp,AT4G17770,AT4G17770,3,AT4G17770;AT4G17780;AT4G17785,
Chr5,13061178,1,7134,7133,0.026455,0.020504463,3.5464768,1.4126059e-05,dp,AT5G34869,AT5G34869,1,AT5G34869,
Chr4,9432386,1994,5936,3942,0.0152,-0.007886239,-3.5425143,1.4464459e-05,dp,AT4G16765,AT4G16765,2,AT4G16765;AT4G16770,
Chr4,14046409,166,2887,2721,0.0065775,0.0011577026,3.542237,1.4493382e-05,dp,AT4G28395,AT4G28395,3,AT4G28395;AT4G28397;AT4G28400,
Chr4,18273578,58,1,57,0.7216675,-0.102970764,-3.5405457,1.464089e-05,dp,AT4G39250,AT4G39250,2,AT4G39250;AT4G39260,
Chr1,17555231,1,94,93,0.01660625,0.022438468,3.5369737,1.4935907e-05,dp,,,0,,
Chr1,17555232,1,1087,1086,0.01660625,0.022438468,3.5369737,1.4935907e-05,dp,,,0,,
Chr4,7252232,1,4323,4322,0.0061075,0.0009377357,3.536165,1.4987968e-05,dp,AT4G12110,AT4G12110,1,AT4G12110,
Chr4,5645631,89,1,88,0.0073,0.0012998107,3.5337052,1.5175969e-05,dp,AT4G08870,AT4G08870,1,AT4G08870,
Chr4,13526680,612,6776,6164,0.00599,0.0008720962,3.5328777,1.5242492e-05,dp,AT4G26920,AT4G26920,2,AT4G26920;AT4G26930,
Chr3,10762158,2889,11008,8119,0.028795,0.0236057,3.5299695,1.5418922e-05,dp,AT3G28700,AT3G28700,1,AT3G28700,
Chr4,9837505,1,1120,1119,0.00516875,0.00069284346,3.5295923,1.5473877e-05,dp,,,0,,
Chr4,6188125,1,121,120,0.00618375,0.00095537,3.5283465,1.5583784e-05,dp,AT4G09820,AT4G09820,2,AT4G09820;AT4G09830,
Chr4,6187747,242,1,241,0.00618375,0.00095537,3.5283465,1.5583784e-05,dp,AT4G09820,AT4G09820,2,AT4G09820;AT4G09830,
Chr4,13368297,1,194,193,0.00506625,0.0008320566,3.5268934,1.570237e-05,dp,AT4G26455,AT4G26455,3,AT4G26455;AT4G26460;AT4G26466,
Chr2,1364859,457,1,456,0.10739625,0.062921815,3.5268223,1.571683e-05,dp,AT2G04090,AT2G04090,1,AT2G04090,
Chr3,18040640,139,533,394,0.00516125,0.00038555078,3.526742,1.571683e-05,dp,AT3G48700,AT3G48700,2,AT3G48700;AT3G48710,
Chr4,13166747,961,1,960,0.005825,0.0007769957,3.5267038,1.571683e-05,dp,AT4G25910,AT4G25910,4,AT4G25910;AT4G25920;AT4G25930;AT4G25940,
Chr4,6836916,1,1071,1070,0.0057975,0.0007779909,3.5263202,1.5760215e-05,dp,AT4G11211,AT4G11211,2,AT4G11211;AT4G11220,
Chr4,6395149,1,301,300,0.005265,0.00068722514,3.5251532,1.5846985e-05,dp,AT4G10310,AT4G10310,1,AT4G10310,
Chr4,5312053,1,73,72,0.00559875,0.0008996213,3.5247185,1.58788e-05,dp,AT4G08380,AT4G08380,1,AT4G08380,
Chr4,5312026,1,73,72,0.00559875,0.0008996213,3.5247185,1.58788e-05,dp,AT4G08380,AT4G08380,1,AT4G08380,
Chr4,5311942,1,73,72,0.00559875,0.0008996213,3.5247185,1.58788e-05,dp,AT4G08380,AT4G08380,1,AT4G08380,
Chr4,10912136,20357,13033,7324,0.01848125,0.02161943,3.5231686,1.6049447e-05,dp,AT4G20200,AT4G20200,6,AT4G20200;AT4G20210;AT4G20220;AT4G20230;AT4G20235;AT4G20240,
Chr4,11390102,840,14688,13848,0.00577,0.0008412712,3.522306,1.6165139e-05,dp,AT4G21380,AT4G21380,1,AT4G21380,
Chr4,11381789,58,1,57,0.00577,0.0008412712,3.522306,1.6165139e-05,dp,AT4G21366,AT4G21366,1,AT4G21366,
Chr4,11382692,1226,7633,6407,0.00577,0.0008412712,3.522306,1.6165139e-05,dp,AT4G21366,AT4G21366,1,AT4G21366,
Chr4,11377202,1,12302,12301,0.00577,0.0008412712,3.522306,1.6165139e-05,dp,,,0,,
Chr4,11359448,4668,14912,10244,0.00577,0.0008412712,3.522306,1.6165139e-05,dp,,,0,,
Chr1,22776419,1,281,280,0.011335,0.0090514785,3.5222936,1.6168033e-05,dp,AT1G61680,AT1G61680,1,AT1G61680,
Chr1,12989349,954,1,953,0.0041825,0.0006419344,3.5212061,1.62924e-05,dp,AT1G35365,AT1G35365,1,AT1G35365,
Chr4,7484572,179,1,178,0.00510625,0.00074464746,3.5210273,1.6321324e-05,dp,AT4G12700,AT4G12700,2,AT4G12700;AT4G12710,
Chr4,9884860,1,664,663,0.005,0.00066240015,3.5155616,1.6781203e-05,dp,AT4G17785,AT4G17785,1,AT4G17785,
Chr4,2569659,113,1,112,0.00559875,0.0008803272,3.5128896,1.7142742e-05,dp,AT4G05010,AT4G05010,2,AT4G05010;AT4G05018,
Chr3,11174855,1,55,54,0.019385,0.023884734,3.5090818,1.7556342e-05,dp,,,0,,
Chr3,1928172,624,2093,1469,0.009105,0.0006414039,3.5067668,1.7767481e-05,dp,AT3G06350,AT3G06350,3,AT3G06350;AT3G06360;AT3G06370,
Chr2,11722803,235,1,234,0.8011063,0.066810444,3.5046673,1.7975728e-05,dp,AT2G27389,AT2G27389,4,AT2G27389;AT2G27390;AT2G27402;AT2G27410,
Chr2,11723279,658,1,657,0.8011063,0.066810444,3.5046673,1.7975728e-05,dp,AT2G27402,AT2G27402,2,AT2G27402;AT2G27410,
Chr5,19200388,52,105,53,0.02002,-0.005965697,-3.5038598,1.8024897e-05,dp,AT5G47300,AT5G47300,3,AT5G47300;AT5G47306;AT5G47310,
Chr4,3939430,2239,51295,49056,0.00512375,0.000675846,3.503059,1.810299e-05,dp,,,0,,
Chr4,10936346,1,5207,5206,0.0200575,0.021399565,3.4993591,1.8473205e-05,dp,AT4G20250,AT4G20250,1,AT4G20250,
Chr4,2119044,119,1,118,0.0046025,0.0007072593,3.4976587,1.8623607e-05,dp,AT4G04330,AT4G04330,1,AT4G04330,
Chr4,6180955,1,5292,5291,0.0062175,0.00083697314,3.4965808,1.8698805e-05,dp,AT4G09820,AT4G09820,1,AT4G09820,
Chr1,728836,1,785,784,0.00615625,0.00068290986,3.4881108,1.9612777e-05,dp,AT1G03060,AT1G03060,2,AT1G03060;AT1G03070,
Chr5,15075528,14503,359,14144,0.0453025,0.028178237,3.4861085,1.9751607e-05,dp,AT5G37870,AT5G37870,2,AT5G37870;AT5G37890,
Chr5,8968701,202,1,201,0.10184125,-0.019169584,-3.4860418,1.97545e-05,dp,AT5G25757,AT5G25757,3,AT5G25757;AT5G25760;AT5G25770,
Chr5,15184575,1,223,222,0.06541625,0.029522449,3.4853096,1.9870193e-05,dp,AT5G38040,AT5G38040,1,AT5G38040,
Chr3,1083419,1,410,409,0.0399125,0.016941559,3.48356,2.0081332e-05,dp,AT3G04120,AT3G04120,2,AT3G04120;AT3G04130,
Chr4,3127792,330,1,329,0.0053075,0.00081202463,3.4830027,2.015364e-05,dp,,,0,,
Chr4,3127655,98,1,97,0.0053075,0.00081202463,3.4830027,2.015364e-05,dp,,,0,,
Chr3,17705425,1,60,59,0.004915,0.00030764617,3.4817822,2.02809e-05,dp,,,0,,
Chr1,20079101,4,803,799,0.03536375,0.026092628,3.479713,2.0561456e-05,dp,AT1G53780,AT1G53780,3,AT1G53780;AT1G53785;AT1G53790,
Chr1,25712555,1,116,115,0.00613,0.0006782178,3.477801,2.0827549e-05,dp,AT1G68520,AT1G68520,3,AT1G68520;AT1G68526;AT1G68530,
Chr1,8305215,1,237,236,0.00613,0.0006782178,3.477801,2.0827549e-05,dp,,,0,,
Chr5,17437802,1,1014,1013,0.0166675,0.018773181,3.477638,2.0847794e-05,dp,,,0,,
Chr2,19063789,3931,7713,3782,0.009115,-0.005584113,-3.4768217,2.094035e-05,dp,AT2G46440,AT2G46440,3,AT2G46440;AT2G46450;AT2G46455,
Chr3,23299264,1,813,812,0.00969125,0.0008292776,3.475034,2.1177519e-05,dp,AT3G63050,AT3G63050,3,AT3G63050;AT3G63052;AT3G63060,
Chr3,194223,172,1,171,0.01203625,0.0015916541,3.47244,2.1472535e-05,dp,AT3G01490,AT3G01490,2,AT3G01490;AT3G01500,
Chr5,17437605,1,74,73,0.01668375,0.018646356,3.4696925,2.1787797e-05,dp,,,0,,
Chr4,11638552,1,200,199,0.01621875,0.024941815,3.4677012,2.2013397e-05,dp,AT4G21926,AT4G21926,2,AT4G21926;AT4G21930,
Chr1,7670864,2,5040,5038,0.0064625,0.00090481975,3.4649258,2.234023e-05,dp,AT1G21850,AT1G21850,2,AT1G21850;AT1G21860,
Chr2,17980200,1,60,59,0.00219,0.0005707104,3.4646268,2.2372044e-05,dp,AT2G43250,AT2G43250,2,AT2G43250;AT2G43255,
Chr1,19675201,5138,2157,2981,0.00494375,0.0019801338,3.4629402,2.2586075e-05,dp,AT1G52830,AT1G52830,2,AT1G52830;AT1G52857,
Chr1,19680343,4,430,426,0.00494375,0.0019801338,3.4629402,2.2586075e-05,dp,AT1G52857,AT1G52857,1,AT1G52857,
Chr1,11081097,1,1490,1489,0.00668375,0.0016842632,3.4622207,2.2672844e-05,dp,AT1G31050,AT1G31050,1,AT1G31050,
Chr4,6756672,1358,352,1006,0.00592125,0.00083536573,3.4621842,2.2675737e-05,dp,AT4G11060,AT4G11060,2,AT4G11060;AT4G11070,
Chr1,19668686,46,6930,6884,0.006175,0.0007170195,3.4618294,2.2710445e-05,dp,AT1G52810,AT1G52810,3,AT1G52810;AT1G52820;AT1G52825,
Chr4,5986773,1,96,95,0.005225,0.0006737886,3.4612572,2.2779861e-05,dp,,,0,,
Chr1,18626691,1,105,104,0.0043075,0.0014671464,3.459354,2.296786e-05,dp,AT1G50280,AT1G50280,3,AT1G50280;AT1G50290;AT1G50300,
Chr1,12401037,14511,2570,11941,0.01619625,-0.010515006,-3.459022,2.3008353e-05,dp,AT1G34065,AT1G34065,4,AT1G34065;AT1G34070;AT1G34095;AT1G34110,
Chr1,18486545,80,20,60,0.00476875,0.0016238015,3.4589107,2.3025706e-05,dp,AT1G49930,AT1G49930,3,AT1G49930;AT1G49938;AT1G49940,
Chr2,13580071,1,62,61,0.0009575,0.0004638318,3.4582417,2.3106692e-05,dp,AT2G31930,AT2G31930,3,AT2G31930;AT2G31940;AT2G31945,
Chr1,28049938,201,1,200,0.00495375,0.0015308241,3.4566724,2.3300478e-05,dp,AT1G74660,AT1G74660,1,AT1G74660,
Chr1,19367675,282,14827,14545,0.016595,0.008742894,3.4561136,2.3355431e-05,dp,AT1G52070,AT1G52070,2,AT1G52070;AT1G52080,
Chr5,2610117,1,1045,1044,0.0246275,0.02002413,3.4541445,2.3612847e-05,dp,AT5G08130,AT5G08130,1,AT5G08130,
Chr1,16586152,11762,20497,8735,0.00483375,0.0017676622,3.4530413,2.3714078e-05,dp,,,0,,
Chr1,19663602,1,5871,5870,0.00647,0.0007900806,3.4530046,2.3714078e-05,dp,AT1G52780,AT1G52780,3,AT1G52780;AT1G52790;AT1G52800,
Chr1,2214710,61,1,60,0.009365,0.0021544856,3.4525146,2.3769031e-05,dp,AT1G07210,AT1G07210,1,AT1G07210,
Chr4,11144558,2205,3464,1259,0.00532875,0.00065829966,3.4517453,2.3870263e-05,dp,AT4G20810,AT4G20810,1,AT4G20810,
Chr3,10245155,1,3209,3208,0.00492625,0.0002974744,3.4514923,2.3890509e-05,dp,AT3G27660,AT3G27660,2,AT3G27660;AT3G27670,
Chr4,12157435,1,106,105,0.1830525,-0.08043652,-3.4514601,2.3890509e-05,dp,AT4G23220,AT4G23220,2,AT4G23220;AT4G23230,
Chr4,6942518,186,1,185,0.00444,0.0005983588,3.450486,2.4014878e-05,dp,AT4G11400,AT4G11400,1,AT4G11400,
Chr4,6102052,4795,865,3930,0.00494375,0.00065567374,3.4489477,2.4208663e-05,dp,AT4G09649,AT4G09649,4,AT4G09649;AT4G09650;AT4G09660;AT4G09670,
Chr1,20245635,70,1,69,0.0082075,0.0021471635,3.448522,2.425494e-05,dp,AT1G54217,AT1G54217,2,AT1G54217;AT1G54220,
Chr4,3547027,145,1,144,0.00559375,0.0009035807,3.4473484,2.441691e-05,dp,,,0,,
Chr1,10106524,1,25765,25764,0.011715,0.019751627,3.4470685,2.445451e-05,dp,AT1G28760,AT1G28760,1,AT1G28760,
Chr4,2588529,10,238,228,0.00473,0.0005917798,3.4462957,2.4538387e-05,dp,AT4G05050,AT4G05050,2,AT4G05050;AT4G05060,
Chr1,27712279,1,1814,1813,0.0123425,0.029274654,3.4456162,2.460491e-05,dp,,,0,,
Chr4,13402111,1,1147,1146,0.00574875,0.0009979594,3.4430876,2.5004048e-05,dp,AT4G26550,AT4G26550,1,AT4G26550,
Chr1,13345914,1,75,74,0.00454125,0.0008083339,3.4424255,2.5099496e-05,dp,AT1G35900,AT1G35900,1,AT1G35900,
Chr4,925031,1,1315,1314,0.00455625,0.0006302419,3.4406273,2.5388726e-05,dp,AT4G02090,AT4G02090,1,AT4G02090,
Chr1,7911428,1,593,592,0.00621875,0.00073368143,3.4391258,2.5559373e-05,dp,AT1G22410,AT1G22410,1,AT1G22410,
Chr1,13345914,1,76,75,0.00477125,0.0019111156,3.4384446,2.5640358e-05,dp,AT1G35900,AT1G35900,1,AT1G35900,
Chr4,3531131,1,263,262,0.07529625,0.05299812,3.4373286,2.5819681e-05,dp,,,0,,
Chr5,15236738,1104,1,1103,0.144175,-0.035559352,-3.4372046,2.5863066e-05,dp,AT5G38190,AT5G38190,1,AT5G38190,
Chr3,11275936,2408,14178,11770,0.023255,0.022722833,3.4371886,2.5871743e-05,dp,AT3G29370,AT3G29370,2,AT3G29370;AT3G29375,
Chr1,24846916,1,822,821,0.006165,0.000824443,3.436402,2.5975867e-05,dp,AT1G66600,AT1G66600,1,AT1G66600,
Chr3,11880100,1,1244,1243,0.0157275,0.014502329,3.4351754,2.615519e-05,dp,AT3G30220,AT3G30220,3,AT3G30220;AT3G30222;AT3G30230,
Chr3,11874608,1434,8521,7087,0.0157275,0.014502329,3.4351754,2.615519e-05,dp,AT3G30220,AT3G30220,1,AT3G30220,
Chr1,20019110,1,4127,4126,0.07396,0.039460808,3.4349716,2.6178328e-05,dp,AT1G53633,AT1G53633,3,AT1G53633;AT1G53635;AT1G53640,
Chr4,9483820,66006,36685,29321,0.01848125,-0.0086754095,-3.4349027,2.6189899e-05,dp,AT4G16855,AT4G16855,12,AT4G16855;AT4G16860;AT4G16880;AT4G16890;AT4G16900;AT4G16915;AT4G16920;AT4G16930;AT4G16940;AT4G16950;AT4G16960;AT4G16970,
Chr4,5996378,1,407,406,0.0494425,-0.015144127,-3.4341533,2.6320053e-05,dp,AT4G09462,AT4G09462,1,AT4G09462,
Chr4,6007219,6465,6516,51,0.0494425,-0.015144127,-3.4341533,2.6320053e-05,dp,AT4G09467,AT4G09467,2,AT4G09467;AT4G09490,
Chr1,29472366,1,207,206,0.30162624,0.22143461,3.86066,2.7952844e-06,scoef,AT1G78340,AT1G78340,1,AT1G78340,
Chr2,1364859,457,1,456,0.10739625,0.22319241,3.8561835,2.992054e-06,scoef,AT2G04090,AT2G04090,1,AT2G04090,
Chr1,24846916,1,822,821,0.006165,0.093722455,3.7773337,5.3677563e-06,scoef,AT1G66600,AT1G66600,1,AT1G66600,
Chr5,13816917,201,1,200,0.26564375,0.17088406,3.7645485,5.8654678e-06,scoef,,,0,,
Chr1,17731997,1,683,682,0.079215,0.2183067,3.762072,5.9378094e-06,scoef,AT1G48070,AT1G48070,2,AT1G48070;AT1G48090,
Chr3,6012441,1,6018,6017,0.00557375,0.0858442,3.7571192,6.1982396e-06,scoef,AT3G17570,AT3G17570,1,AT3G17570,
Chr4,10103520,94,1,93,0.3244325,0.15849769,3.7391925,7.190768e-06,scoef,AT4G18270,AT4G18270,2,AT4G18270;AT4G18280,
Chr1,12989349,954,1,953,0.0041825,0.092965595,3.7314603,7.587201e-06,scoef,AT1G35365,AT1G35365,1,AT1G35365,
Chr4,9770489,105,2,103,0.0099275,0.14384589,3.7168827,8.278787e-06,scoef,AT4G17510,AT4G17510,2,AT4G17510;AT4G17520,
Chr4,9769626,794,1,793,0.0099275,0.14384589,3.7168827,8.278787e-06,scoef,AT4G17510,AT4G17510,2,AT4G17510;AT4G17520,
Chr1,11834466,2419,1580,839,0.03403625,0.17380783,3.7010162,9.465192e-06,scoef,AT1G32710,AT1G32710,2,AT1G32710;AT1G32720,
Chr1,22041954,1,712,711,0.004405,0.086525895,3.6526484,1.301283e-05,scoef,AT1G59870,AT1G59870,3,AT1G59870;AT1G59885;AT1G59890,
Chr1,22809455,24,1147,1123,0.023855,0.23472178,3.650035,1.3206706e-05,scoef,AT1G61760,AT1G61760,2,AT1G61760;AT1G61770,
Chr4,14046409,166,2887,2721,0.0065775,0.12016366,3.6469715,1.3423732e-05,scoef,AT4G28395,AT4G28395,3,AT4G28395;AT4G28397;AT4G28400,
Chr1,13211358,2,969,967,0.0043175,0.0944266,3.6369908,1.4335237e-05,scoef,AT1G35680,AT1G35680,1,AT1G35680,
Chr5,22579950,1,508,507,0.00740125,0.10466329,3.6092174,1.7194183e-05,scoef,AT5G55780,AT5G55780,3,AT5G55780;AT5G55790;AT5G55800,
Chr1,17729853,1,760,759,0.08856,0.22011547,3.6064641,1.7489338e-05,scoef,AT1G48060,AT1G48060,2,AT1G48060;AT1G48070,
Chr1,19767804,1,3657,3656,0.0041975,0.07755456,3.6035542,1.781632e-05,scoef,AT1G53040,AT1G53040,1,AT1G53040,
Chr1,11982294,1,1580,1579,0.004575,0.08742283,3.5969746,1.849344e-05,scoef,AT1G33070,AT1G33070,1,AT1G33070,
Chr1,11987037,1,3760,3759,0.004575,0.08742283,3.5969746,1.849344e-05,scoef,AT1G33070,AT1G33070,2,AT1G33070;AT1G33080,
Chr4,11638552,1,200,199,0.01621875,0.2933633,3.593417,1.8918809e-05,scoef,AT4G21926,AT4G21926,2,AT4G21926;AT4G21930,
Chr2,844662,1,4779,4778,0.0326475,0.18242267,3.593162,1.8956427e-05,scoef,AT2G02880,AT2G02880,2,AT2G02880;AT2G02890,
Chr5,24045494,444,304,140,0.03202375,0.24330956,3.592576,1.90143e-05,scoef,AT5G59670,AT5G59670,2,AT5G59670;AT5G59680,
Chr5,8280719,1003,1,1002,0.38423625,0.14184289,3.5907536,1.9196601e-05,scoef,AT5G24314,AT5G24314,3,AT5G24314;AT5G24316;AT5G24318,
Chr4,13717699,1,733,732,0.00638,0.114432104,3.589615,1.9286306e-05,scoef,AT4G27430,AT4G27430,1,AT4G27430,
Chr1,11955276,26,6307,6281,0.0045475,0.09555804,3.5834439,2.0053129e-05,scoef,AT1G32975,AT1G32975,3,AT1G32975;AT1G32980;AT1G32990,
Chr1,21211697,1,559,558,0.003885,0.07373639,3.5808263,2.0388794e-05,scoef,AT1G56610,AT1G56610,1,AT1G56610,
Chr1,24214871,2824,8933,6109,0.00434,0.09893526,3.580483,2.0452455e-05,scoef,AT1G65180,AT1G65180,3,AT1G65180;AT1G65190;AT1G65200,
Chr1,24233724,1,268,267,0.00434,0.09893526,3.580483,2.0452455e-05,scoef,AT1G65240,AT1G65240,2,AT1G65240;AT1G65250,
Chr1,24245111,1,6021,6020,0.00434,0.09893526,3.580483,2.0452455e-05,scoef,AT1G65270,AT1G65270,2,AT1G65270;AT1G65280,
Chr2,909681,5641,1,5640,0.0495175,0.2282633,3.5785317,2.0715777e-05,scoef,AT2G03070,AT2G03070,2,AT2G03070;AT2G03090,
Chr1,9842867,1,59,58,0.01722125,0.18852237,3.5751865,2.1146934e-05,scoef,AT1G28170,AT1G28170,2,AT1G28170;AT1G28180,
Chr4,9415900,1,94,93,0.00688125,0.094504364,3.574507,2.1233745e-05,scoef,AT4G16745,AT4G16745,1,AT4G16745,
Chr5,25254856,1,872,871,0.00623625,0.08892316,3.5733166,2.1378428e-05,scoef,AT5G62920,AT5G62920,2,AT5G62920;AT5G62930,
Chr5,9638954,5621,1593,4028,0.00687375,0.09391507,3.5719159,2.1488388e-05,scoef,,,0,,
Chr1,28504777,370,2,368,0.0043925,0.08761689,3.5703056,2.1702519e-05,scoef,AT1G75910,AT1G75910,2,AT1G75910;AT1G75920,
Chr5,17985699,578,1,577,0.02959125,0.25664732,3.569052,2.1864565e-05,scoef,AT5G44585,AT5G44585,2,AT5G44585;AT5G44590,
Chr2,17980200,1,60,59,0.00219,0.07126983,3.568814,2.190797e-05,scoef,AT2G43250,AT2G43250,2,AT2G43250;AT2G43255,
Chr1,19354843,1,10601,10600,0.00462375,0.084534295,3.5660331,2.228704e-05,scoef,AT1G52050,AT1G52050,1,AT1G52050,
