chrom,pos,ref_len,alt_len,sv_size,p0,beta,z_emp,p_perm
Chr2,909681,5641,1,5640,0.0486925,0.19529139,3.3683867,7.789609e-05
Chr4,7278345,1,73,72,0.0089475,0.08153828,3.367949,7.806671e-05
Chr4,7282557,2,160,158,0.0089475,0.08153828,3.367949,7.806671e-05
Chr4,7275395,1,372,371,0.0089475,0.08153828,3.367949,7.806671e-05
Chr2,601609,461,1,460,0.2303125,-0.17840765,-3.3662055,7.884174e-05
Chr1,12989349,954,1,953,0.00221375,0.049076337,3.3651676,7.94606e-05
Chr1,12500408,517,1,516,0.50106126,0.21518597,3.362444,8.077063e-05
Chr4,12713071,1177,1,1176,0.0047475,0.060858347,3.3614182,8.119285e-05
Chr1,9261996,2,636,634,0.01038625,-0.15843475,-3.3612704,8.127093e-05
Chr3,20629769,271,1,270,0.5095275,-0.17614526,-3.36001,8.191871e-05
Chr5,17985485,1,263,262,0.01026125,0.22110297,3.3553464,8.394015e-05
Chr3,11618304,2733,1,2732,0.01333625,0.20075665,3.3550925,8.40645e-05
Chr3,11652888,17707,12858,4849,0.01333625,0.20075665,3.3550925,8.40645e-05
Chr4,18273578,58,1,57,0.6614962,-0.28565174,-3.3542643,8.461107e-05
Chr3,16888198,1,4807,4806,0.02990125,-0.2204813,-3.3542624,8.461107e-05
Chr1,8287772,1,1479,1478,0.0059975,-0.13873714,-3.3517659,8.57418e-05
Chr2,11625991,66,1,65,0.23996376,0.2505237,3.3483872,8.73121e-05
Chr3,9208095,1,249,248,0.01705375,0.15177424,3.34758,8.77025e-05
Chr3,10393735,303,1,302,0.0259775,0.26939976,3.3462493,8.827799e-05
Chr1,16272637,1,370,369,0.00574,-0.14782076,-3.345758,8.8523804e-05
Chr5,22579950,1,508,507,0.008745,0.075686455,3.345396,8.8705994e-05
Chr1,6948227,16,1035,1019,0.015415,-0.11896893,-3.3442256,8.928726e-05
Chr3,10515318,1,1503,1502,0.00507875,-0.13052222,-3.3424888,9.0143265e-05
Chr5,17174096,339,1,338,0.0331625,-0.14474899,-3.3309748,9.677149e-05
Chr1,6173489,64,1,63,0.62214875,-0.18434829,-3.3303742,9.71243e-05
Chr1,8361506,1,478,477,0.02044,-0.13246563,-3.3269897,9.89086e-05
Chr5,20076334,1,55,54,0.03604125,-0.15271403,-3.3260326,9.948987e-05
Chr1,16273618,593,5,588,0.006415,-0.15488182,-3.3236015,0.00010079412
Chr4,9770489,105,2,103,0.015755,0.099842176,3.3229349,0.000101236576
Chr4,9769626,794,1,793,0.015755,0.099842176,3.3229349,0.000101236576
Chr1,9845025,1,1267,1266,0.01798625,-0.17442322,-3.322748,0.00010130598
Chr1,25359067,1,76,75,0.38797626,0.15501787,3.3218176,0.00010177736
Chr3,15064937,1,380,379,0.0327575,-0.10883911,-3.319907,0.00010277506
Chr5,14757472,229,1,228,0.0652575,0.31046796,3.3197794,0.00010288495
Chr3,17259598,192,1,191,0.01505,-0.19681168,-3.3157089,0.00010526498
Chr1,22959909,1,187,186,0.036695,-0.2819721,-3.3146937,0.00010599663
Chr1,19111850,142,1,141,0.1419225,-0.17608152,-3.3113415,0.00010821472
Chr1,7852153,1,93,92,0.08430375,-0.24326774,-3.310264,0.000108822016
Chr1,20149002,604,1,603,0.847495,-0.24993935,-3.3091354,0.000109542096
Chr4,5791851,1,117,116,0.202475,-0.21160027,-3.3061602,0.00011140158
Chr5,17846381,78,1,77,0.0344875,0.15979628,3.3024833,0.000113663045
Chr5,19148943,101,1,100,0.44369125,-0.23437476,-3.3015976,0.00011422986
Chr5,21166385,71,1,70,0.08233125,-0.22056949,-3.2999713,0.000115282506
Chr2,1010607,2396,1,2395,0.2612725,-0.21377505,-3.2996402,0.00011542421
Chr3,14222325,1350,339,1011,0.1976525,0.17865422,3.2995636,0.00011545602
Chr3,10921491,1,538,537,0.03733375,-0.16439532,-3.299349,0.00011559772
Chr2,4964994,1,950,949,0.01840875,0.13709117,3.29912,0.000115751
Chr3,5900108,736,1,735,0.01918875,0.13256003,3.2984512,0.00011620213
Chr1,24111660,1,117,116,0.16210125,-0.2440675,-3.2968843,0.00011723743
Chr3,6158584,1,79,78,0.011395,-0.2377198,-3.296464,0.000117546864
Chr5,10606639,293,10046,9753,0.02623125,0.19726077,3.2952518,0.00011849251
Chr5,10643659,1,4665,4664,0.02623125,0.19726077,3.2952518,0.00011849251
Chr5,10596853,1,383,382,0.02623125,0.19726077,3.2952518,0.00011849251
Chr2,7643896,2,176,174,0.17438126,0.23972051,3.292613,0.00012023054
Chr1,6948227,16,1035,1019,0.04930125,-0.27941903,-3.2923725,0.000120389595
Chr1,11834466,2419,1580,839,0.0323625,0.1491024,3.292189,0.000120496596
Chr5,3581973,184,1,183,0.085445,-0.2726322,-3.291841,0.00012075976
Chr5,16892998,1,547,546,0.012475,0.15133798,3.2891963,0.00012254406
Chr1,7851868,1,730,729,0.0686575,-0.2211817,-3.2827535,0.00012693106
Chr5,25599006,1,583,582,0.0151775,-0.16527027,-3.2822597,0.00012733015
Chr4,9432386,1999,435,1564,0.01002625,0.16264667,3.2819645,0.00012748342
Chr3,17173480,107,1,106,0.0803825,0.2205071,3.281712,0.00012763958
Chr1,5131824,1,117,116,0.1545025,0.2788925,3.2802525,0.00012857944
Chr1,24617759,1,2882,2881,0.006315,-0.16091387,-3.2782612,0.00012988948
Chr1,24785842,1,787,786,0.01238125,-0.13775724,-3.278195,0.00012990972
Chr4,11872497,1,71,70,0.3289225,0.20241053,3.2781801,0.00012992129
Chr4,12157244,64,1,63,0.40861,-0.16079788,-3.2763152,0.00013125445
Chr1,550823,1,183,182,0.0799025,-0.24559575,-3.2746134,0.00013251242
Chr1,2236330,1,734,733,0.00544,-0.13050012,-3.2717519,0.00013442685
Chr1,17116651,1,197,196,0.10751875,-0.24722973,-3.2706933,0.00013513537
Chr5,7684526,268,1,267,0.2816525,0.27048084,3.269956,0.00013560096
Chr2,8785745,1,1684,1683,0.06787375,-0.18139727,-3.269288,0.00013609258
Chr3,11955239,1,275,274,0.02379125,-0.20983087,-3.2679155,0.00013713077
Chr3,11955904,46,513,467,0.02379125,-0.20983087,-3.2679155,0.00013713077
Chr5,17348700,2,93,91,0.23185875,0.25966904,3.267413,0.00013756457
Chr5,8172569,1,2120,2119,0.00771625,0.18470244,3.2669272,0.00013793472
Chr1,634455,79,1,78,0.0933575,0.30630568,3.2656968,0.00013880519
Chr1,11188418,58,1,57,0.25989375,0.20285586,3.265334,0.00013902497
Chr5,26758650,1,901,900,0.3401675,-0.28387317,-3.2649806,0.00013946454
Chr4,5433511,1,55,54,0.004775,0.05304889,3.262164,0.00014172311
Chr1,3780767,2,605,603,0.00571875,-0.13319045,-3.2594888,0.00014354789
Chr1,18804115,1,908,907,0.04352625,-0.18154375,-3.2579682,0.00014468151
Chr5,217013,55,1,54,0.5398787,0.25502858,3.2544944,0.00014737387
Chr1,1220975,462,1,461,0.0260975,-0.17435925,-3.2542806,0.00014751847
Chr3,9707795,1,776,775,0.050935,-0.21662751,-3.2538047,0.00014785682
Chr1,17500219,1,1289,1288,0.0175975,0.1040694,3.251429,0.00014969896
Chr1,4556822,53,1,52,0.13174625,-0.21760805,-3.2502196,0.00015078341
Chr1,9400086,177,2648,2471,0.005835,-0.14557159,-3.249675,0.00015125191
Chr1,1823443,2,67,65,0.13724625,0.14185871,3.2496371,0.00015127215
Chr4,1447829,15847,2370,13477,0.0048175,0.062423363,3.24814,0.00015251565
Chr1,24450197,1,221,220,0.01916375,-0.17844988,-3.2478027,0.00015281641
Chr2,2486953,1,73,72,0.17042124,0.21656041,3.245295,0.00015513283
Chr1,16822764,1,66,65,0.00643625,-0.13478255,-3.244654,0.00015567939
Chr1,11225499,1,54,53,0.01955625,-0.18159963,-3.2417572,0.00015812882
Chr3,10936002,54,1,53,0.19984625,-0.087982565,-3.2414112,0.00015844982
Chr5,24255917,374,1,373,0.005465,0.05064884,3.2413762,0.0001584932
Chr3,12642373,55,1,54,0.0151575,-0.14900275,-3.2408493,0.00015891831
Chr4,1365618,1,64,63,0.326855,0.18587133,3.2401717,0.00015946488
Chr5,18486463,1,65,64,0.26996374,0.25134015,3.2400265,0.00015955743
Chr5,18281952,1987,11310,9323,0.0060275,-0.10915952,-3.2390597,0.0001603874
Chr5,2610117,1,1049,1048,0.02140625,-0.1474933,-3.2370842,0.00016205313
Chr1,17729853,1,760,759,0.090375,0.18469524,3.23706,0.00016208494
Chr4,15467417,107,1,106,0.14307125,0.30770293,3.2363346,0.0001627443
Chr5,8276609,162,3,159,0.01241,0.34696922,3.2355754,0.00016344123
Chr4,9015424,4,153,149,0.20849875,0.1545781,3.2351425,0.00016389816
Chr5,18495259,1,890,889,0.0343775,0.18630148,3.2346559,0.0001643464
Chr1,8495146,1,271,270,0.3786675,-0.14578827,-3.2339563,0.00016493924
Chr4,1268769,1,455,454,0.44407624,0.1500053,3.233652,0.00016520241
Chr5,10660446,12799,16288,3489,0.02598,0.18535276,3.2308223,0.00016771835
Chr5,7486034,1,1460,1459,0.1127075,-0.29667455,-3.2297554,0.00016865243
Chr3,16738987,1,653,652,0.01103,0.18907739,3.2297,0.00016869292
Chr2,11628904,446,1,445,0.328255,0.26097217,3.2279992,0.00017034997
Chr1,7169789,1051,1,1050,0.0383175,-0.22895679,-3.2279,0.00017043673
Chr3,17261905,67,1,66,0.02565125,-0.18680692,-3.224313,0.00017406607
Chr3,21436096,1,341,340,0.01463625,0.1347339,3.2234614,0.00017489603
Chr4,18276271,1,55,54,0.271045,0.23089847,3.2228742,0.00017546864
Chr5,7511127,1240,1,1239,0.07762375,0.2511559,3.2226398,0.00017568552
Chr1,21383773,1,74,73,0.00590625,-0.13934077,-3.2224076,0.00017594
Chr1,16986009,4890,12258,7368,0.00631375,-0.12871657,-3.2217395,0.00017663695
Chr3,5136520,1,2453,2452,0.01838,0.13668585,3.2214015,0.00017695795
Chr1,7963377,200,1,199,0.1348625,-0.22062019,-3.2210896,0.00017724137
Chr5,7818830,1,258,257,0.07075375,0.22004887,3.2194028,0.00017882901
Chr3,10401705,1,1236,1235,0.0280525,0.2616691,3.2193124,0.0001789042
