stat,block,chrom,start,end,span_bp,n_sv,SNPs,Z,Z_pVal,fdr,bonferroni,dir,n_up,n_dn,n_genes,genes,gene_names,flower_loci
dp,3_1328,Chr3,10712427,10713087,660,9,9,5.789,6.568302957998817e-05,0.0433,False,down-in-warm,3,6,0,,,
dp,2_296,Chr2,835003,835185,182,7,7,5.505,0.0001212801300946,0.0733,False,up-in-warm,5,2,0,,,
scoef,5_775,Chr5,9102742,9295277,192535,740,740,11.856,0.0,0.0,True,down-in-warm,332,408,41,AT5G26050;AT5G26060;AT5G26070;AT5G26080;AT5G26090;AT5G26100;AT5G26110;AT5G26114;AT5G26120;AT5G26130;AT5G26140;AT5G26150;AT5G26160;AT5G26170;AT5G26180;AT5G26190;AT5G26200;AT5G26210;AT5G26220;AT5G26230;AT5G26240;AT5G26250;AT5G26260;AT5G26262;AT5G26270;AT5G26280;AT5G26290;AT5G26300;AT5G26310;AT5G26320;AT5G26330;AT5G26340;AT5G26360;AT5G26570;AT5G26594;AT5G26667;AT5G26673;AT5G26692;AT5G26717;AT5G26740;AT5G26742,AT5G26050;AT5G26060;AT5G26070;AT5G26080;AT5G26090;AT5G26100;AT5G26110;AT5G26114;AT5G26120;AT5G26130;AT5G26140;AT5G26150;AT5G26160;AT5G26170;AT5G26180;AT5G26190;AT5G26200;AT5G26210;AT5G26220;AT5G26230;AT5G26240;AT5G26250;AT5G26260;AT5G26262;AT5G26270;AT5G26280;AT5G26290;AT5G26300;AT5G26310;AT5G26320;AT5G26330;AT5G26340;AT5G26360;AT5G26570;AT5G26594;AT5G26667;AT5G26673;AT5G26692;AT5G26717;AT5G26740;AT5G26742,
scoef,2_729,Chr2,6609945,6781985,172040,918,918,8.621,0.0,0.0,True,up-in-warm,430,488,30,AT2G15230;AT2G15240;AT2G15260;AT2G15270;AT2G15280;AT2G15290;AT2G15300;AT2G15310;AT2G15318;AT2G15320;AT2G15325;AT2G15327;AT2G15340;AT2G15345;AT2G15350;AT2G15360;AT2G15370;AT2G15390;AT2G15400;AT2G15420;AT2G15430;AT2G15440;AT2G15450;AT2G15460;AT2G15470;AT2G15480;AT2G15490;AT2G15500;AT2G15530;AT2G15535,AT2G15230;AT2G15240;AT2G15260;AT2G15270;AT2G15280;AT2G15290;AT2G15300;AT2G15310;AT2G15318;AT2G15320;AT2G15325;AT2G15327;AT2G15340;AT2G15345;AT2G15350;AT2G15360;AT2G15370;AT2G15390;AT2G15400;AT2G15420;AT2G15430;AT2G15440;AT2G15450;AT2G15460;AT2G15470;AT2G15480;AT2G15490;AT2G15500;AT2G15530;AT2G15535,
scoef,5_918,Chr5,13034903,13357892,322989,857,857,4.127,0.0,0.0,True,up-in-warm,399,458,17,AT5G34828;AT5G34850;AT5G34869;AT5G34870;AT5G34881;AT5G34882;AT5G34883;AT5G34885;AT5G34887;AT5G34905;AT5G34908;AT5G34930;AT5G34940;AT5G35050;AT5G35066;AT5G35069;AT5G35080,AT5G34828;AT5G34850;AT5G34869;AT5G34870;AT5G34881;AT5G34882;AT5G34883;AT5G34885;AT5G34887;AT5G34905;AT5G34908;AT5G34930;AT5G34940;AT5G35050;AT5G35066;AT5G35069;AT5G35080,
scoef,5_602,Chr5,7473185,7709195,236010,555,555,13.028,2.2439150537678643e-10,0.0,True,up-in-warm,268,287,57,AT5G22500;AT5G22510;AT5G22520;AT5G22530;AT5G22540;AT5G22545;AT5G22550;AT5G22555;AT5G22560;AT5G22570;AT5G22580;AT5G22590;AT5G22600;AT5G22608;AT5G22610;AT5G22620;AT5G22630;AT5G22640;AT5G22650;AT5G22660;AT5G22670;AT5G22680;AT5G22690;AT5G22700;AT5G22720;AT5G22730;AT5G22740;AT5G22750;AT5G22760;AT5G22770;AT5G22780;AT5G22790;AT5G22791;AT5G22794;AT5G22800;AT5G22810;AT5G22820;AT5G22830;AT5G22840;AT5G22850;AT5G22860;AT5G22870;AT5G22875;AT5G22880;AT5G22890;AT5G22900;AT5G22910;AT5G22920;AT5G22930;AT5G22940;AT5G22950;AT5G22960;AT5G22970;AT5G22980;AT5G22990;AT5G23000;AT5G23010,AT5G22500;AT5G22510;AT5G22520;AT5G22530;AT5G22540;AT5G22545;AT5G22550;AT5G22555;AT5G22560;AT5G22570;AT5G22580;AT5G22590;AT5G22600;AT5G22608;AT5G22610;AT5G22620;AT5G22630;AT5G22640;AT5G22650;AT5G22660;AT5G22670;AT5G22680;AT5G22690;AT5G22700;AT5G22720;AT5G22730;AT5G22740;AT5G22750;AT5G22760;AT5G22770;AT5G22780;AT5G22790;AT5G22791;AT5G22794;AT5G22800;AT5G22810;AT5G22820;AT5G22830;AT5G22840;AT5G22850;AT5G22860;AT5G22870;AT5G22875;AT5G22880;AT5G22890;AT5G22900;AT5G22910;AT5G22920;AT5G22930;AT5G22940;AT5G22950;AT5G22960;AT5G22970;AT5G22980;AT5G22990;AT5G23000;AT5G23010,
scoef,4_2781,Chr4,15466240,15469500,3260,22,22,8.379,1.1443010472511617e-07,0.0002,True,up-in-warm,13,9,1,AT4G31980,AT4G31980,
scoef,2_653,Chr2,5709173,5770262,61089,513,513,12.086,3.3359860218684645e-07,0.0004,True,down-in-warm,214,299,6,AT2G13720;AT2G13760;AT2G13770;AT2G13790;AT2G13800;AT2G13810,AT2G13720;AT2G13760;AT2G13770;AT2G13790;AT2G13800;AT2G13810,
scoef,5_891,Chr5,10535139,10782628,247489,611,611,7.989,1.072098666843324e-06,0.0011,True,up-in-warm,289,322,18,AT5G28540;AT5G28550;AT5G28560;AT5G28590;AT5G28610;AT5G28615;AT5G28620;AT5G28630;AT5G28640;AT5G28642;AT5G28646;AT5G28650;AT5G28660;AT5G28680;AT5G28690;AT5G28720;AT5G28730;AT5G28740,AT5G28540;AT5G28550;AT5G28560;AT5G28590;AT5G28610;AT5G28615;AT5G28620;AT5G28630;AT5G28640;AT5G28642;AT5G28646;AT5G28650;AT5G28660;AT5G28680;AT5G28690;AT5G28720;AT5G28730;AT5G28740,
scoef,5_2001,Chr5,17985485,17986496,1011,9,9,6.656,7.841336196356963e-06,0.0071,False,up-in-warm,8,1,0,,,
scoef,2_591,Chr2,2958845,3297840,338995,642,642,5.79,8.86070415884177e-06,0.0071,False,up-in-warm,300,342,37,AT2G07140;AT2G07170;AT2G07180;AT2G07190;AT2G07200;AT2G07215;AT2G07240;AT2G07280;AT2G07290;AT2G07310;AT2G07340;AT2G07360;AT2G07362;AT2G07363;AT2G07440;AT2G07505;AT2G07521;AT2G07560;AT2G07640;AT2G07669;AT2G07671;AT2G07672;AT2G07673;AT2G07674;AT2G07675;AT2G07676;AT2G07678;AT2G07681;AT2G07684;AT2G07749;AT2G07751;AT2G07768;AT2G07771;AT2G07773;AT2G07776;AT2G07777;AT2G07779,AT2G07140;AT2G07170;AT2G07180;AT2G07190;AT2G07200;AT2G07215;AT2G07240;AT2G07280;AT2G07290;AT2G07310;AT2G07340;AT2G07360;AT2G07362;AT2G07363;AT2G07440;AT2G07505;AT2G07521;AT2G07560;AT2G07640;AT2G07669;AT2G07671;AT2G07672;AT2G07673;AT2G07674;AT2G07675;AT2G07676;AT2G07678;AT2G07681;AT2G07684;AT2G07749;AT2G07751;AT2G07768;AT2G07771;AT2G07773;AT2G07776;AT2G07777;AT2G07779,
scoef,1_2265,Chr1,16874201,16875082,881,9,9,6.5,1.351813578076566e-05,0.0098,False,down-in-warm,2,7,0,,,
scoef,3_1389,Chr3,11048892,11127715,78823,447,447,12.127,1.5614865852331405e-05,0.0103,False,down-in-warm,138,309,9,AT3G29070;AT3G29075;AT3G29080;AT3G29090;AT3G29100;AT3G29110;AT3G29130;AT3G29140;AT3G29152,AT3G29070;AT3G29075;AT3G29080;AT3G29090;AT3G29100;AT3G29110;AT3G29130;AT3G29140;AT3G29152,
scoef,2_779,Chr2,7073103,7081608,8505,103,103,9.431,7.873143470427113e-05,0.0476,False,down-in-warm,43,60,3,AT2G16340;AT2G16360;AT2G16365,AT2G16340;AT2G16360;AT2G16365,
scoef,2_195,Chr2,599907,604021,4114,72,72,8.227,0.0001327795365999,0.0741,False,down-in-warm,16,56,1,AT2G02280,AT2G02280,
