block,chrom,Z_pVal,dir,gene
4_3052,Chr4,0.00158,down-in-warm,AT4G39700
4_3052,Chr4,0.00158,down-in-warm,AT4G39710
4_3052,Chr4,0.00158,down-in-warm,AT4G39720
4_3052,Chr4,0.00158,down-in-warm,AT4G39730
2_1268,Chr2,0.00184,up-in-warm,AT2G27100
2_1268,Chr2,0.00184,up-in-warm,AT2G27110
2_1268,Chr2,0.00184,up-in-warm,AT2G27120
2_1268,Chr2,0.00184,up-in-warm,AT2G27130
2_1268,Chr2,0.00184,up-in-warm,AT2G27140
2_1268,Chr2,0.00184,up-in-warm,AT2G27145
2_1268,Chr2,0.00184,up-in-warm,AT2G27150
2_1268,Chr2,0.00184,up-in-warm,AT2G27160
2_1268,Chr2,0.00184,up-in-warm,AT2G27170
2_1268,Chr2,0.00184,up-in-warm,AT2G27180
2_1268,Chr2,0.00184,up-in-warm,AT2G27190
2_1268,Chr2,0.00184,up-in-warm,AT2G27200
2_1268,Chr2,0.00184,up-in-warm,AT2G27210
2_1268,Chr2,0.00184,up-in-warm,AT2G27220
2_1268,Chr2,0.00184,up-in-warm,AT2G27228
2_1268,Chr2,0.00184,up-in-warm,AT2G27229
2_1268,Chr2,0.00184,up-in-warm,AT2G27230
2_1268,Chr2,0.00184,up-in-warm,AT2G27240
4_2181,Chr4,0.00206,up-in-warm,AT4G19650
4_2181,Chr4,0.00206,up-in-warm,AT4G19660
4_2181,Chr4,0.00206,up-in-warm,AT4G19670
4_2181,Chr4,0.00206,up-in-warm,AT4G19680
4_2181,Chr4,0.00206,up-in-warm,AT4G19690
4_2181,Chr4,0.00206,up-in-warm,AT4G19700
4_2781,Chr4,0.00224,up-in-warm,AT4G31980
1_417,Chr1,0.00247,up-in-warm,AT1G10520
1_417,Chr1,0.00247,up-in-warm,AT1G10522
1_417,Chr1,0.00247,up-in-warm,AT1G10530
1_417,Chr1,0.00247,up-in-warm,AT1G10540
1_417,Chr1,0.00247,up-in-warm,AT1G10550
1_417,Chr1,0.00247,up-in-warm,AT1G10560
1_417,Chr1,0.00247,up-in-warm,AT1G10570
1_417,Chr1,0.00247,up-in-warm,AT1G10580
1_417,Chr1,0.00247,up-in-warm,AT1G10585
1_417,Chr1,0.00247,up-in-warm,AT1G10586
1_417,Chr1,0.00247,up-in-warm,AT1G10588
1_417,Chr1,0.00247,up-in-warm,AT1G10590
1_417,Chr1,0.00247,up-in-warm,AT1G10600
1_417,Chr1,0.00247,up-in-warm,AT1G10610
1_417,Chr1,0.00247,up-in-warm,AT1G10620
1_417,Chr1,0.00247,up-in-warm,AT1G10630
1_417,Chr1,0.00247,up-in-warm,AT1G10640
1_417,Chr1,0.00247,up-in-warm,AT1G10650
1_417,Chr1,0.00247,up-in-warm,AT1G10652
1_417,Chr1,0.00247,up-in-warm,AT1G10657
1_417,Chr1,0.00247,up-in-warm,AT1G10660
1_417,Chr1,0.00247,up-in-warm,AT1G10670
1_417,Chr1,0.00247,up-in-warm,AT1G10680
2_1459,Chr2,0.00279,up-in-warm,AT2G32780
2_1459,Chr2,0.00279,up-in-warm,AT2G32785
2_1459,Chr2,0.00279,up-in-warm,AT2G32788
2_1459,Chr2,0.00279,up-in-warm,AT2G32790
2_1459,Chr2,0.00279,up-in-warm,AT2G32800
2_1459,Chr2,0.00279,up-in-warm,AT2G32810
2_1459,Chr2,0.00279,up-in-warm,AT2G32820
2_1459,Chr2,0.00279,up-in-warm,AT2G32830
2_1459,Chr2,0.00279,up-in-warm,AT2G32835
2_1459,Chr2,0.00279,up-in-warm,AT2G32840
2_1459,Chr2,0.00279,up-in-warm,AT2G32850
2_1459,Chr2,0.00279,up-in-warm,AT2G32860
2_1459,Chr2,0.00279,up-in-warm,AT2G32870
2_1459,Chr2,0.00279,up-in-warm,AT2G32880
2_1459,Chr2,0.00279,up-in-warm,AT2G32885
2_1459,Chr2,0.00279,up-in-warm,AT2G32890
2_1459,Chr2,0.00279,up-in-warm,AT2G32900
2_1459,Chr2,0.00279,up-in-warm,AT2G32905
2_1459,Chr2,0.00279,up-in-warm,AT2G32910
2_1459,Chr2,0.00279,up-in-warm,AT2G32920
2_1459,Chr2,0.00279,up-in-warm,AT2G32930
2_1459,Chr2,0.00279,up-in-warm,AT2G32940
2_1459,Chr2,0.00279,up-in-warm,AT2G32950
2_1459,Chr2,0.00279,up-in-warm,AT2G32960
1_2625,Chr1,0.00332,up-in-warm,AT1G51370
4_132,Chr4,0.00337,up-in-warm,AT4G02600
1_2451,Chr1,0.00433,down-in-warm,AT1G48420
1_2451,Chr1,0.00433,down-in-warm,AT1G48430
1_2451,Chr1,0.00433,down-in-warm,AT1G48440
1_2451,Chr1,0.00433,down-in-warm,AT1G48450
3_340,Chr3,0.00481,up-in-warm,AT3G10460
3_340,Chr3,0.00481,up-in-warm,AT3G10470
3_340,Chr3,0.00481,up-in-warm,AT3G10480
3_340,Chr3,0.00481,up-in-warm,AT3G10490
3_340,Chr3,0.00481,up-in-warm,AT3G10500
3_340,Chr3,0.00481,up-in-warm,AT3G10510
3_340,Chr3,0.00481,up-in-warm,AT3G10520
3_340,Chr3,0.00481,up-in-warm,AT3G10525
3_340,Chr3,0.00481,up-in-warm,AT3G10526
3_340,Chr3,0.00481,up-in-warm,AT3G10530
3_340,Chr3,0.00481,up-in-warm,AT3G10540
3_340,Chr3,0.00481,up-in-warm,AT3G10550
3_340,Chr3,0.00481,up-in-warm,AT3G10560
3_340,Chr3,0.00481,up-in-warm,AT3G10570
3_340,Chr3,0.00481,up-in-warm,AT3G10572
3_340,Chr3,0.00481,up-in-warm,AT3G10580
3_340,Chr3,0.00481,up-in-warm,AT3G10585
3_340,Chr3,0.00481,up-in-warm,AT3G10590
4_2412,Chr4,0.00522,up-in-warm,AT4G22070
1_3727,Chr1,0.0054,up-in-warm,AT1G62200
1_3727,Chr1,0.0054,up-in-warm,AT1G62210
1_3727,Chr1,0.0054,up-in-warm,AT1G62220
5_1137,Chr5,0.00563,up-in-warm,AT5G38410
4_1343,Chr4,0.00573,up-in-warm,AT4G15290
