block,chrom,mid_pos,SNPs,Z,Z_pVal,top_candidate_p,dir,n_up,n_dn,gene,gene_name,flower_locus
1_4665,Chr1,26150160.5,66,7.718370651974322,0.0028736237091314,2.9858111282514192e-12,up-in-warm,38,28,AT1G69550,AT1G69550,
1_694,Chr1,5926720.0,7,5.345435090032293,0.002904439026087,2.0651500000000087e-09,up-in-warm,6,1,AT1G17290,AT1G17290,
1_42,Chr1,214011.0,36,6.546505217164718,0.0030874471054869,1.5055115859164043e-06,up-in-warm,19,17,AT1G01580,AT1G01580,
4_2663,Chr4,13674833.0,10,5.433122884119444,0.0031969354409353,2.001276156940847e-06,down-in-warm,3,7,AT4G27310,AT4G27310,
4_1637,Chr4,9382416.0,10,5.416556094985593,0.0033084681918863,2.001276156940847e-06,up-in-warm,5,5,AT4G16650,AT4G16650,
5_622,Chr5,7865302.0,13,5.546263153001436,0.0033219124601664,1.2037294519127428e-07,up-in-warm,8,5,AT5G23370,AT5G23370,
3_2891,Chr3,18933645.0,9,5.36605996094566,0.0033518137023251,0.0034357300178462,up-in-warm,6,3,AT3G50930,AT3G50930,
3_683,Chr3,7502340.0,41,6.679360570007964,0.0034943700244679,1.668663812877784e-07,down-in-warm,21,20,AT3G21320,AT3G21320,
3_1044,Chr3,9303822.0,8,5.270972064556425,0.0037223076059128,5.393332119790015e-05,up-in-warm,4,4,AT3G25590,AT3G25590,
4_2752,Chr4,15243239.0,11,5.394744844589163,0.0037856435668084,0.000155372629155,down-in-warm,4,7,AT4G31410,AT4G31410,
1_2936,Chr1,21365929.0,12,5.417405382870844,0.0039498712862218,4.642283320235311e-06,up-in-warm,8,4,AT1G57680,AT1G57680,
4_2781,Chr4,15468585.5,22,5.83564008239469,0.0040214501200191,6.502481877192564e-08,up-in-warm,14,8,AT4G31970,AT4G31970,
3_1941,Chr3,16443556.0,9,5.276545342707528,0.004027359091328,0.0034357300178462,down-in-warm,4,5,AT3G44980,AT3G44980,
1_1761,Chr1,11348697.0,27,6.037983911420907,0.00406272135437,1.8739908905523757e-10,up-in-warm,15,12,AT1G31690,AT1G31690,
1_4390,Chr1,24875582.0,23,5.86942233918542,0.0040849356431861,2.130298283970376e-09,down-in-warm,4,19,AT1G66700,AT1G66700,
1_2451,Chr1,17899956.0,11,5.352115371649335,0.0041264915275215,4.39389263361612e-08,down-in-warm,6,5,AT1G48430,AT1G48430,
1_2000,Chr1,12283694.0,41,6.57574410905685,0.0042345192892798,7.120231064356995e-09,up-in-warm,26,15,AT1G33830,AT1G33830,
1_4136,Chr1,24105378.0,9,5.241534203665019,0.004323138925131,1.2104328314440042e-06,down-in-warm,4,5,AT1G64870,AT1G64870,
4_1785,Chr4,9727175.5,2,4.89956845445333,0.0046090267360825,0.0001,up-in-warm,2,0,AT4G17430,AT4G17430,
2_1198,Chr2,10873481.0,8,5.159349083188926,0.0046695278066487,6.778784035000024e-07,down-in-warm,1,7,AT2G25540,AT2G25540,
3_2582,Chr3,17579890.0,12,5.325537055684551,0.0047450023685365,0.1136151282838708,down-in-warm,3,9,AT3G47680,AT3G47680,
1_3507,Chr1,22592596.0,5,5.002294372278232,0.0049085349796592,0.0009801496,up-in-warm,4,1,AT1G61260,AT1G61260,
2_996,Chr2,9919972.0,23,5.686682179669258,0.0057851751347535,8.722288482649805e-08,up-in-warm,13,10,AT2G23310,AT2G23310,
1_1064,Chr1,7952917.0,55,6.924725404893064,0.0057881037923227,4.1987311992265485e-09,down-in-warm,23,32,AT1G22540,AT1G22540,
5_503,Chr5,6067855.0,8,5.050294368939806,0.005796945381009,5.393332119790015e-05,down-in-warm,4,4,AT5G18320,AT5G18320,
4_502,Chr4,5801622.0,10,5.136861767523052,0.0057987850674003,0.0042662002428314,down-in-warm,1,9,AT4G09060,AT4G09060,
4_2519,Chr4,12157244.0,127,9.11756311978683,0.0058787550614418,1.1256755070951454e-27,down-in-warm,50,77,AT4G23230,AT4G23230,
5_2465,Chr5,21785348.0,34,6.119578477192524,0.0058988038681079,1.4399571491143662e-09,up-in-warm,22,12,AT5G53620,AT5G53620,
1_2393,Chr1,17360325.0,30,5.959175151725274,0.0059136251018027,1.1835224669846332e-11,down-in-warm,12,18,AT1G47350,AT1G47350,
1_236,Chr1,2297392.0,13,5.233127168537666,0.0061741840827694,1.2037294519127428e-07,down-in-warm,3,10,AT1G07473,AT1G07473,
1_1881,Chr1,11546066.0,1,4.709664717640076,0.0061821510781882,0.01,down-in-warm,0,1,AT1G32090,AT1G32090,
5_1957,Chr5,17811388.0,16,5.35823777525575,0.0061987844881777,1.653063641103466e-05,down-in-warm,10,6,AT5G44220,AT5G44220,
1_1037,Chr1,7852153.0,22,5.587257743236421,0.0064470219533758,1.4950000972233536e-09,down-in-warm,8,14,AT1G22230,AT1G22230,
2_1218,Chr2,10947844.0,36,6.1411633615708485,0.0065303259253592,1.8647648102210418e-17,up-in-warm,22,14,AT2G25697,AT2G25697,
2_827,Chr2,7565687.0,6,4.889524351363351,0.0066925018233322,1.955359000000005e-05,down-in-warm,2,4,AT2G17380,AT2G17380,
5_1139,Chr5,15382483.0,2,4.709948151003134,0.0067454370919829,0.0001,up-in-warm,2,0,AT5G38420,AT5G38420,
5_1140,Chr5,15383088.0,2,4.709948151003134,0.0067454370919829,0.0001,up-in-warm,2,0,AT5G38420,AT5G38420,
1_4186,Chr1,24348425.0,10,5.057790582747956,0.0067545989493683,0.0001138491179057,down-in-warm,7,3,AT1G65484,AT1G65484,
1_2697,Chr1,19426042.0,7,4.920281243878658,0.0068593256483469,3.416698000000012e-07,up-in-warm,7,0,AT1G52160,AT1G52160,
5_163,Chr5,984662.0,4,4.787729241856549,0.0068820921233483,0.00059203,down-in-warm,1,3,AT5G03740,AT5G03740,
3_3010,Chr3,19713789.0,54,6.782081030191111,0.0069333919062517,6.445853509165136e-12,down-in-warm,32,22,AT3G53190,AT3G53190,
1_1752,Chr1,11335775.0,67,7.234171085684231,0.0069797663392298,2.1197730657993795e-16,down-in-warm,36,31,AT1G31670,AT1G31670,
1_570,Chr1,4842191.0,14,5.1983094163700985,0.0071472980635154,2.803275440129146e-09,up-in-warm,6,8,AT1G14150,AT1G14150,
5_2002,Chr5,17986590.5,6,4.85413894043756,0.0071662651818159,0.001460447605,up-in-warm,4,2,AT5G44585,AT5G44585,
4_1770,Chr4,9668905.0,6,4.853790388588739,0.0071710753381066,1.955359000000005e-05,up-in-warm,5,1,AT4G17240,AT4G17240,
1_3632,Chr1,22778334.0,94,8.055790321127535,0.0074442362291273,5.6320777685118485e-30,up-in-warm,44,50,AT1G61680,AT1G61680,
3_621,Chr3,6776661.0,6,4.817037472349827,0.007694538615532,0.001460447605,down-in-warm,2,4,AT3G19520,AT3G19520,
3_56,Chr3,1083419.0,59,6.895517549232153,0.0077192188632794,2.6363733529845092e-14,up-in-warm,34,25,AT3G04210,AT3G04210,
1_214,Chr1,1598199.0,3,4.684617334922363,0.0077200603231599,1.0000000000000027e-06,down-in-warm,0,3,AT1G05440,AT1G05440,
1_2192,Chr1,16559724.0,148,9.414434715582011,0.0077265181606385,1.1647562832951231e-38,down-in-warm,85,63,AT1G43780,AT1G43780,
1_4289,Chr1,24533330.0,10,4.980374620215464,0.0078226628963166,2.4167843198740106e-08,up-in-warm,9,1,,,
