block,SNPs,hits,Z,top_candidate_p,Z_pVal,chrom,mid_pos,n_up,n_dn,lead_pos,lead_ref,mean_beta,dir,fdr,bonferroni
3_3018,3,2,3.7028171795679454,0.000298,0.0141605228512191,Chr3,19740321.0,3,0,19739759,588,0.06697857,up-in-warm,0.8150167596590548,False
1_172,1,1,3.6196191458463978,0.01,0.0143583002146744,Chr1,1220975.0,0,1,1220975,462,-0.17435925,down-in-warm,0.8198928595025099,False
5_67,3,1,3.687475355519151,0.029701,0.0146057031584309,Chr5,498318.0,1,2,498044,66,-0.023017475,down-in-warm,0.8275043695698506,False
5_701,1,1,3.593008070184747,0.01,0.0151526556832281,Chr5,8276609.0,1,0,8276609,162,0.34696922,up-in-warm,0.8517781852939001,False
2_1563,8,1,3.850527729480272,0.0772553055720799,0.0153582468055591,Chr2,15320334.0,6,2,15316665,1,0.017969612,up-in-warm,0.8517781852939001,False
4_3049,8,0,3.8491698911359857,1.0,0.0153993311999912,Chr4,18358108.5,7,1,18361898,1,0.097935565,up-in-warm,0.8517781852939001,False
1_3320,6,1,3.768960017706166,0.058519850599,0.0155633655484906,Chr1,22252183.0,2,4,22251688,1,-0.020556035,down-in-warm,0.8517781852939001,False
5_1837,8,3,3.841883430202336,5.393332119790015e-05,0.0156214145951584,Chr5,17545523.0,6,2,17545958,223,0.063687354,up-in-warm,0.8517781852939001,False
1_2451,11,1,3.937607152321167,0.1046617457412836,0.0160999625551182,Chr1,17899956.0,8,3,17898907,58,0.014240867,up-in-warm,0.8713203615650537,False
1_3654,2,1,3.589412499019389,0.0199,0.016470138393652,Chr1,22798661.5,0,2,22797806,208,-0.14966278,down-in-warm,0.8718186971819735,False
3_175,6,0,3.73865094331728,1.0,0.0165199795263698,Chr3,1849045.5,6,0,1848854,473,0.22321759,up-in-warm,0.8718186971819735,False
1_1958,1,1,3.5461073660545352,0.01,0.0166447254213081,Chr1,11955276.0,1,0,11955276,26,0.050097123,up-in-warm,0.8718186971819735,False
1_4673,22,3,4.316218828326019,0.0013356291937811,0.0166886805868291,Chr1,26155819.0,14,8,26155631,107,0.03552007,up-in-warm,0.8718186971819735,False
5_2465,36,4,4.799130126842026,0.0004561624296751,0.0167102590882921,Chr5,21785348.0,26,10,21785348,1,0.04598616,up-in-warm,0.8718186971819735,False
1_1740,5,2,3.6856862181840016,0.0009801496,0.0170287204839763,Chr1,11320770.0,4,1,11320767,754,0.087994285,up-in-warm,0.8778931821873182,False
3_1100,20,2,4.226903202587833,0.0168593376356518,0.0172675345680682,Chr3,9594269.0,18,2,9594269,1,0.07927587,up-in-warm,0.8778931821873182,False
3_3370,2,1,3.5648978430543794,0.0199,0.0172887616090017,Chr3,23214406.5,1,1,23214199,200,0.037119523,up-in-warm,0.8778931821873182,False
1_2278,2,1,3.564248462572625,0.0199,0.0173109107905111,Chr1,16935623.0,1,1,16935632,708,-0.044323537,down-in-warm,0.8778931821873182,False
2_842,109,5,6.889171190062233,0.0049493945513078,0.0176048534347514,Chr2,7750058.0,65,44,7777034,7261,0.05305385,up-in-warm,0.87863952588057,False
1_156,1,1,3.5158260057316,0.01,0.0176734528338557,Chr1,926727.0,1,0,926727,189,0.18247324,up-in-warm,0.87863952588057,False
1_2899,18,2,4.130170661374223,0.0137564637408055,0.018102696166821,Chr1,21313465.0,7,11,21313465,1,-0.02682605,down-in-warm,0.87863952588057,False
5_2126,165,15,8.036692408068886,1.7746109074809126e-10,0.018277745957026,Chr5,18496086.0,99,66,18486463,1,0.030290922,up-in-warm,0.87863952588057,False
3_809,12,5,3.882883923637536,7.469708281709199e-08,0.0191687901624355,Chr3,8301124.5,8,4,8301655,1,0.06473785,up-in-warm,0.87863952588057,False
1_1761,29,3,4.482234599399218,0.0030081981768577,0.0192486669531982,Chr1,11348697.0,12,17,11348697,1,-0.0022379805,down-in-warm,0.87863952588057,False
4_2082,7,2,3.693743210595904,0.00203104163494,0.0193648630507787,Chr4,10327919.0,7,0,10327919,1,0.088763885,up-in-warm,0.87863952588057,False
4_3051,11,1,3.83994488749972,0.1046617457412836,0.0194025216842458,Chr4,18374449.0,9,2,18377626,240,0.10625685,up-in-warm,0.87863952588057,False
1_2266,1,1,3.467769102263509,0.01,0.0194173003665575,Chr1,16875714.0,0,1,16875714,1,-0.13220581,down-in-warm,0.87863952588057,False
2_404,35,2,4.679298217926193,0.0478586754551283,0.0194756264961984,Chr2,1145111.0,19,16,1145111,1,0.01856452,up-in-warm,0.87863952588057,False
1_749,6,1,3.6503070496289824,0.058519850599,0.0196002476860548,Chr1,6986313.0,6,0,6986313,1,0.08570784,up-in-warm,0.87863952588057,False
3_1497,4,1,3.575060058883857,0.03940399,0.0196256901786777,Chr3,11919983.0,3,1,11920047,214,0.091247715,up-in-warm,0.87863952588057,False
3_572,47,3,5.065483705097778,0.011685847399776,0.0197294888981067,Chr3,6073260.0,16,31,6073283,1,-0.010668966,down-in-warm,0.87863952588057,False
3_1541,17,2,4.046247664983988,0.0123089855299442,0.0197933664302262,Chr3,13303680.0,11,6,13312946,1,0.031171035,up-in-warm,0.87863952588057,False
4_1122,6,2,3.643660797679956,0.001460447605,0.0198505276794034,Chr4,8075519.0,4,2,8075519,1481,0.05504028,up-in-warm,0.87863952588057,False
1_5044,68,9,5.705814117393091,2.8950235554560524e-08,0.0198989617707127,Chr1,28508880.0,36,32,28473580,1,0.031420022,up-in-warm,0.87863952588057,False
5_2813,35,1,4.666443833353076,0.2965523050004308,0.0199201159166991,Chr5,23675880.0,23,12,23682705,1,0.063367166,up-in-warm,0.87863952588057,False
1_1337,8,1,3.714076209654798,0.0772553055720799,0.0199870285766534,Chr1,9261996.0,2,6,9261996,2,-0.02120062,down-in-warm,0.87863952588057,False
5_2496,1,1,3.452188360914316,0.01,0.0200131818149142,Chr5,21981064.0,1,0,21981064,390,0.13891307,up-in-warm,0.87863952588057,False
3_600,18,2,4.063756142460502,0.0137564637408055,0.020465846802905,Chr3,6540236.0,13,5,6529304,62,0.055216834,up-in-warm,0.87863952588057,False
2_1888,6,1,3.626156638581645,0.058519850599,0.0205226982408134,Chr2,17560110.0,3,3,17560020,1,0.013054476,up-in-warm,0.87863952588057,False
1_1217,1,1,3.4321802067895937,0.01,0.0208010764438296,Chr1,8869807.0,0,1,8869807,157,-0.13983372,down-in-warm,0.87863952588057,False
1_1560,115,12,6.919452426568608,2.379219485795809e-09,0.0208565368188116,Chr1,10341845.0,52,63,10360756,2,-0.009391586,down-in-warm,0.87863952588057,False
4_2811,83,5,6.098399690964869,0.0015211936287157,0.021009062790627,Chr4,16256396.0,31,52,16277740,1,-0.010830216,down-in-warm,0.87863952588057,False
1_211,22,1,4.190504046466853,0.1983694104609542,0.0210146504695538,Chr1,1590273.0,17,5,1588433,1,0.065542385,up-in-warm,0.87863952588057,False
3_3233,5,2,3.5728189817131613,0.0009801496,0.0211635110672331,Chr3,22249020.0,0,5,22249020,1,-0.062247593,down-in-warm,0.87863952588057,False
3_2854,14,1,3.89391220999346,0.1312541872310217,0.0214896819991516,Chr3,18858657.0,12,2,18858617,1,0.099709116,up-in-warm,0.87863952588057,False
4_2826,22,2,4.171318316570527,0.0202292794522771,0.0217518822222747,Chr4,16629159.0,19,3,16631616,1,0.13104239,up-in-warm,0.87863952588057,False
1_170,64,8,5.529057896901055,2.6888651008106975e-07,0.0218616363224406,Chr1,1187649.5,37,27,1184230,1184,0.0291563,up-in-warm,0.87863952588057,False
3_340,42,2,4.84342091382686,0.066182322212583,0.0218705078422306,Chr3,3303917.0,36,6,3308664,1,0.08701244,up-in-warm,0.87863952588057,False
4_1660,12,2,3.809770636382867,0.0061745377728247,0.0219654719312252,Chr4,9407680.0,5,7,9407631,1,0.005530922,up-in-warm,0.87863952588057,False
