ind_id	chrom	start	end	founder
ind091	Chr1	1	30427671	8351
ind092	Chr1	1	30427671	9557
ind093	Chr1	1	30427671	9940
ind094	Chr1	1	30427671	7378
ind095	Chr1	1	30427671	8351
ind096	Chr1	1	30427671	6945
ind097	Chr1	1	30427671	7143
ind098	Chr1	1	30427671	6963
ind099	Chr1	1	30427671	9606
ind100	Chr1	1	30427671	6958
ind101	Chr1	1	30427671	5784
ind102	Chr1	1	30427671	6958
ind103	Chr1	1	30427671	6958
ind104	Chr1	1	30427671	9940
ind105	Chr1	1	30427671	6244
ind106	Chr1	1	30427671	9537
ind107	Chr1	1	30427671	6939
ind108	Chr1	1	30427671	8214
ind109	Chr1	1	30427671	9555
ind110	Chr1	1	30427671	5784
ind111	Chr1	1	30427671	7378
ind112	Chr1	1	30427671	8351
ind113	Chr1	1	30427671	7372
ind114	Chr1	1	30427671	9758
ind115	Chr1	1	30427671	9518
ind116	Chr1	1	30427671	6915
ind117	Chr1	1	30427671	7000
ind118	Chr1	1	30427671	8249
ind119	Chr1	1	30427671	6958
ind120	Chr1	1	30427671	7002
ind121	Chr1	1	30427671	6244
ind122	Chr1	1	30427671	9594
ind123	Chr1	1	30427671	7217
ind124	Chr1	1	30427671	9764
ind125	Chr1	1	30427671	10002
ind126	Chr1	1	30427671	6911
ind127	Chr1	1	30427671	7092
ind128	Chr1	1	30427671	9758
ind129	Chr1	1	30427671	7275
ind130	Chr1	1	30427671	9758
ind131	Chr1	1	30427671	9992
ind132	Chr1	1	30427671	7288
ind133	Chr1	1	30427671	9653
ind134	Chr1	1	30427671	7002
ind135	Chr1	1	30427671	9542
ind136	Chr1	1	30427671	9565
ind137	Chr1	1	30427671	5784
ind138	Chr1	1	30427671	9758
ind139	Chr1	1	30427671	9758
ind140	Chr1	1	30427671	8231
ind141	Chr1	1	30427671	6938
ind142	Chr1	1	30427671	6244
ind143	Chr1	1	30427671	768
ind144	Chr1	1	30427671	7275
ind145	Chr1	1	30427671	8351
ind146	Chr1	1	30427671	9557
ind147	Chr1	1	30427671	8231
ind148	Chr1	1	30427671	9910
ind149	Chr1	1	30427671	10006
ind150	Chr1	1	30427671	7186
ind151	Chr1	1	30427671	9549
ind152	Chr1	1	30427671	10002
ind153	Chr1	1	30427671	8354
ind154	Chr1	1	30427671	7217
ind155	Chr1	1	30427671	7411
ind156	Chr1	1	30427671	8231
ind157	Chr1	1	30427671	9542
ind158	Chr1	1	30427671	763
ind159	Chr1	1	30427671	9594
ind160	Chr1	1	30427671	9910
ind161	Chr1	1	30427671	9549
ind162	Chr1	1	30427671	9518
ind163	Chr1	1	30427671	9542
ind164	Chr1	1	30427671	7092
ind165	Chr1	1	30427671	9759
ind166	Chr1	1	30427671	8249
ind167	Chr1	1	30427671	6184
ind168	Chr1	1	30427671	8249
ind169	Chr1	1	30427671	8354
ind170	Chr1	1	30427671	8214
ind171	Chr1	1	30427671	8354
ind172	Chr1	1	30427671	6939
ind173	Chr1	1	30427671	6184
ind174	Chr1	1	30427671	7255
ind175	Chr1	1	30427671	7372
ind176	Chr1	1	30427671	7346
ind177	Chr1	1	30427671	5784
ind178	Chr1	1	30427671	9564
ind179	Chr1	1	30427671	9549
ind180	Chr1	1	30427671	9506
ind181	Chr1	1	30427671	7411
ind182	Chr1	1	30427671	10002
ind183	Chr1	1	30427671	9518
ind184	Chr1	1	30427671	6244
ind185	Chr1	1	30427671	10002
ind186	Chr1	1	30427671	8230
ind187	Chr1	1	30427671	6945
ind188	Chr1	1	30427671	7127
ind189	Chr1	1	30427671	6915
ind190	Chr1	1	30427671	9549
ind191	Chr1	1	30427671	9910
ind192	Chr1	1	30427671	9879
ind193	Chr1	1	30427671	6945
ind194	Chr1	1	30427671	9879
ind195	Chr1	1	30427671	7411
ind196	Chr1	1	30427671	7288
ind197	Chr1	1	30427671	6938
ind198	Chr1	1	30427671	6244
ind199	Chr1	1	30427671	9992
ind200	Chr1	1	30427671	6958
ind201	Chr1	1	30427671	6150
ind202	Chr1	1	30427671	7143
ind203	Chr1	1	30427671	7000
ind204	Chr1	1	30427671	7346
ind205	Chr1	1	30427671	7372
ind206	Chr1	1	30427671	10006
ind207	Chr1	1	30427671	8354
ind208	Chr1	1	30427671	9879
ind209	Chr1	1	30427671	8214
ind210	Chr1	1	30427671	9940
ind211	Chr1	1	30427671	9549
ind212	Chr1	1	30427671	9600
ind213	Chr1	1	30427671	9879
ind214	Chr1	1	30427671	8231
ind215	Chr1	1	30427671	9555
ind216	Chr1	1	30427671	6150
ind217	Chr1	1	30427671	6979
ind218	Chr1	1	30427671	7217
ind219	Chr1	1	30427671	9542
ind220	Chr1	1	30427671	9594
ind221	Chr1	1	30427671	7186
ind222	Chr1	1	30427671	9594
ind223	Chr1	1	30427671	7347
ind224	Chr1	1	30427671	9759
ind225	Chr1	1	30427671	9940
ind226	Chr1	1	30427671	9559
ind227	Chr1	1	30427671	9637
ind228	Chr1	1	30427671	6929
ind229	Chr1	1	30427671	7186
ind230	Chr1	1	30427671	7378
ind231	Chr1	1	30427671	10002
